State,Constituency Name,Candidate,Party,Winning Margin
Assam,Dhubri,TAHIDUR RAHMAN,Voters Party  International,-1012476.0
Assam,Dhubri,SHUKUR ALI,Asom Jana Morcha,-1012476.0
Assam,Dhubri,RAKIBUL HUSSAIN,Indian National Congress,-1012476.0
Assam,Dhubri,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,-1012476.0
Assam,Dhubri,ZABED ISLAM,Asom Gana Parishad,-1012476.0
Assam,Dhubri,S. M. JIAUL HAQUE,Bharatiya Gana Parishad,-1012476.0
Assam,Dhubri,FARUK KHAN,Independent,-1012476.0
Assam,Dhubri,NOTA,None of the Above,-1012476.0
Assam,Dhubri,ALAKESH ROY,Independent,-1012476.0
Assam,Dhubri,HAFIZ BURHANUDDIN,The National Road Map Party of India,-1012476.0
Assam,Dhubri,RADHARANI BISWAS,Hindu Samaj Party,-1012476.0
Assam,Dhubri,REJAUL KARIM,Republican Party of India (Athawale),-1012476.0
Assam,Dhubri,SURAT ZAMAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),-1012476.0
Assam,Dhubri,BISWAJIT RAY,Independent,-1012476.0
Madhya Pradesh,INDORE,COMRADE AJEET SINGH,Socialist Unity Centre Of India (COMMUNIST),-1008077.0
Madhya Pradesh,INDORE,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,-1008077.0
Madhya Pradesh,INDORE,PAWAN KUMAR,Akhil Bhartiya Parivar Party,-1008077.0
Madhya Pradesh,INDORE,ABHAY JAIN,Independent,-1008077.0
Madhya Pradesh,INDORE,LAVISH DILIP KHANDELWAL,Independent,-1008077.0
Madhya Pradesh,INDORE,AYAZ ALI,Independent,-1008077.0
Madhya Pradesh,INDORE,NOTA,None of the Above,-1008077.0
Madhya Pradesh,INDORE,BASANT GEHLOT,Jan Sangh Party,-1008077.0
Madhya Pradesh,INDORE,PARMANAND TOLANI,Independent,-1008077.0
Madhya Pradesh,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,-1008077.0
Madhya Pradesh,INDORE,DESH BHAKT ANKIT GUPTA,Independent,-1008077.0
Madhya Pradesh,INDORE,ENG. ARJUN PARIHAR,Independent,-1008077.0
Madhya Pradesh,INDORE,MUDIT CHAURASIA,Independent,-1008077.0
Madhya Pradesh,INDORE,RAVI SIRWAIYA,Independent,-1008077.0
Madhya Pradesh,INDORE,ADVOCATE PANKAJ GUPTE,Independent,-1008077.0
Madhya Pradesh,VIDISHA,BHEEKAM SINGH KUSHWAHA,Mahanwadi Party,-821408.0
Madhya Pradesh,VIDISHA,SEEMA SHARMA,Sapaks Party,-821408.0
Madhya Pradesh,VIDISHA,KAMLESH KUMAR GOUR,Jai Prakash Janata Dal,-821408.0
Madhya Pradesh,VIDISHA,BHAI MUNSHILAL SILAWAT,Public Political Party,-821408.0
Madhya Pradesh,VIDISHA,ABDUL RASHID,Independent,-821408.0
Madhya Pradesh,VIDISHA,DHARMVIR BHARTI,Akhil Bhartiya Parivar Party,-821408.0
Madhya Pradesh,VIDISHA,SATYENDRA SINGH SISODIYA,Independent,-821408.0
Madhya Pradesh,VIDISHA,DHOOLSINGH DHAMMA,Independent,-821408.0
Madhya Pradesh,VIDISHA,ABDUL JABBAR,Independent,-821408.0
Madhya Pradesh,VIDISHA,KISHAN LAL LADIYA,Bahujan Samaj Party,-821408.0
Madhya Pradesh,VIDISHA,PRATAPBHANU SHARMA,Indian National Congress,-821408.0
Madhya Pradesh,VIDISHA,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,-821408.0
Madhya Pradesh,VIDISHA,NOTA,None of the Above,-821408.0
Madhya Pradesh,VIDISHA,DHARMENDRA SINGH PANWAR (GOLU BHAIYA),Right to Recall Party,-821408.0
Gujarat,Navsari,NOTA,None of the Above,-773551.0
Gujarat,Navsari,MALKHAN RAMKISHOR VARMA,Bahujan Samaj Party,-773551.0
Gujarat,Navsari,KIRIT L. SURATI,Independent,-773551.0
Gujarat,Navsari,RAMZAN MANSURI (SENIOR JOURNALIST),Log Party,-773551.0
Gujarat,Navsari,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,-773551.0
Gujarat,Navsari,C R PATIL,Bharatiya Janata Party,-773551.0
Gujarat,Navsari,KADIR MAHEBOOB SAIYED,Social Democratic Party Of India,-773551.0
Gujarat,Navsari,DR. KANUBHAI KHADADIYA,Socialist Unity Centre Of India (COMMUNIST),-773551.0
Gujarat,Navsari,SHEKH MOHMMAD NISHAR (MUNNABHAI GARAGE),Independent,-773551.0
Gujarat,Navsari,SUMANBEN  KHUSHWA (HANSIKA RAJPUT),Sardar Vallabhbhai Patel Party,-773551.0
Gujarat,Navsari,MOHAMMAD HANIF SHAH,Garib Kalyan Party,-773551.0
Gujarat,Navsari,ADVOCATE NAVINKUMAR SHANKERBHAI PATEL,Independent,-773551.0
Gujarat,Navsari,RAJU VARDE,Independent,-773551.0
Gujarat,Navsari,CHANDANSINGH SHIVBADANSINGH THAKUR,Independent,-773551.0
Gujarat,Navsari,KAZI AYAZ HUSNUDDIN,Independent,-773551.0
Gujarat,Gandhinagar,BAGVAN BAHADURSHAH GULMOHAMMAD,Independent,-744716.0
Gujarat,Gandhinagar,PATHAN IMTIYAJKHAN,Independent,-744716.0
Gujarat,Gandhinagar,RAHUL CHIMANBHAI MEHTA,Right to Recall Party,-744716.0
Gujarat,Gandhinagar,UMADIYA ALIBHAI RAJABHAI,Independent,-744716.0
Gujarat,Gandhinagar,MAURYA SUMITRA DEVNARIAN,Prajatantra Aadhar Party,-744716.0
Gujarat,Gandhinagar,MANSURI SUHANA,Independent,-744716.0
Gujarat,Gandhinagar,PARIKH RAJIVBHAI KALABHAI,Independent,-744716.0
Gujarat,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,-744716.0
Gujarat,Gandhinagar,SONAL RAMANBHAI PATEL,Indian National Congress,-744716.0
Gujarat,Gandhinagar,NOTA,None of the Above,-744716.0
Gujarat,Gandhinagar,MOHAMMEDANISH DESAI,Bahujan Samaj Party,-744716.0
Gujarat,Gandhinagar,NAVSADALAM IBRAHIMBHAI MALEK,Independent,-744716.0
Gujarat,Gandhinagar,MALEK MAKBUL SHAKIB,Independent,-744716.0
Gujarat,Gandhinagar,THAKOR JITENDRASINH JASHAVANTSINH,Insaniyat Party,-744716.0
Gujarat,Gandhinagar,SHAHNAWAZKHAN SULTANKHAN PATHAN,Independent,-744716.0
West Bengal,Diamond harbour,PRATIK UR RAHAMAN,Communist Party of India  (Marxist),-710930.0
West Bengal,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,-710930.0
West Bengal,Diamond harbour,KASHINATH MONDAL,Independent,-710930.0
West Bengal,Diamond harbour,ANISUR RAHAMAN SK,Independent,-710930.0
West Bengal,Diamond harbour,RAMKUMAR MONDAL,Socialist Unity Centre Of India (COMMUNIST),-710930.0
West Bengal,Diamond harbour,KALIMUDDIN SK,Indian National Socialistic Action Forces,-710930.0
West Bengal,Diamond harbour,PULAKESH MONDAL,Independent,-710930.0
West Bengal,Diamond harbour,MALAY GUHA ROY,Independent,-710930.0
West Bengal,Diamond harbour,DASARATHI PAIK,Bahujan Samaj Party,-710930.0
West Bengal,Diamond harbour,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,-710930.0
West Bengal,Diamond harbour,SUBRATA BOSE,Independent,-710930.0
West Bengal,Diamond harbour,NOTA,None of the Above,-710930.0
West Bengal,Diamond harbour,MAJNU LASKAR,All India Secular Front,-710930.0
Tripura,Tripura West,MILAN PADA MURASING,Independent,-611578.0
Tripura,Tripura West,BIPLAB KUMAR DEB,Bharatiya Janata Party,-611578.0
Tripura,Tripura West,ASISH KUMAR SAHA,Indian National Congress,-611578.0
Tripura,Tripura West,NOTA,None of the Above,-611578.0
Tripura,Tripura West,RAMENDRA REANG,Independent,-611578.0
Tripura,Tripura West,ARUN KUMAR BHAUMIK,Socialist Unity Centre Of India (COMMUNIST),-611578.0
Tripura,Tripura West,GOURI SANKAR NANDI,Independent,-611578.0
Tripura,Tripura West,ARNAB ROY,Republican Party of India (A),-611578.0
Tripura,Tripura West,BRAJALAL DEBNATH,Independent,-611578.0
Tripura,Tripura West,BALARAM DEBBARMA,Independent,-611578.0
Gujarat,Vadodara,DR. HEMANG JOSHI,Bharatiya Janata Party,-582126.0
Gujarat,Vadodara,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,-582126.0
Gujarat,Vadodara,NOTA,None of the Above,-582126.0
Gujarat,Vadodara,JADAV AMITKUMAR RAMJIBHAI,Bahujan Samaj Party,-582126.0
Gujarat,Vadodara,PARMAR HEMANTKUMAR ARVINDBHAI,Independent,-582126.0
Gujarat,Vadodara,ANILBHAI SHARMA,Hindrashtra Sangh,-582126.0
Gujarat,Vadodara,DR. RAHUL VASUDEVBHAI VYAS,Independent,-582126.0
Gujarat,Vadodara,PARMAR MAYURSINH ARVINDSINH,Independent,-582126.0
Gujarat,Vadodara,NILKANTHKUMAR MANSUKHLAL MISTRI,Independent,-582126.0
Gujarat,Vadodara,TAPAN DASGUPTA,Socialist Unity Centre Of India (COMMUNIST),-582126.0
Gujarat,Vadodara,ATUL GAMECHI,Independent,-582126.0
Gujarat,Vadodara,PARTHIV VIJAYKUMAR DAVE,Right to Recall Party,-582126.0
Gujarat,Vadodara,NILESH JAGANNATH VASAIKAR,Independent,-582126.0
Gujarat,Vadodara,DOSHI HARDIK BIPINBHAI,Satyawadi Rakshak Party,-582126.0
Gujarat,Vadodara,RAJESH RATHOD,Independent,-582126.0
Chhattisgarh,RAIPUR,HIRA NAND NAGWANI (ASHOK BHAIYA),Republican Party of India (A),-575285.0
Chhattisgarh,RAIPUR,ROHIT KUMAR PATIL,Independent,-575285.0
Chhattisgarh,RAIPUR,PILARAM ANANT,Sunder Samaj Party,-575285.0
Chhattisgarh,RAIPUR,BODHAN LAL FARIKAR,Independent,-575285.0
Chhattisgarh,RAIPUR,DAYA SHANKER NISHAD,Bhartiya Shakti Chetna Party,-575285.0
Chhattisgarh,RAIPUR,VISHWAJIT HARODE,Socialist Unity Centre Of India (COMMUNIST),-575285.0
Chhattisgarh,RAIPUR,YASHUTOSH LAHARE,Ambedkarite Party of India,-575285.0
Chhattisgarh,RAIPUR,LAKHAMOO RAM TANDON,Rashtriya Jansabha Party,-575285.0
Chhattisgarh,RAIPUR,AMARNATH CHANDRAKAR,Independent,-575285.0
Chhattisgarh,RAIPUR,BHANJAN JANGADE (ADHIWAKTA),Bharatiya Bahujan Congress,-575285.0
Chhattisgarh,RAIPUR,RAMKRISHNA VERMA,Independent,-575285.0
Chhattisgarh,RAIPUR,RAJESH DHRUV,Independent,-575285.0
Chhattisgarh,RAIPUR,MO. AMIN,Bhrashtachar Mukti Morcha,-575285.0
Chhattisgarh,RAIPUR,ENGI. BHANU PRATAP TANDE,Independent,-575285.0
Chhattisgarh,RAIPUR,PITAMBAR JANGDE,Aazad Samaj Party (Kanshi Ram),-575285.0
Chhattisgarh,RAIPUR,ASHISH KUMAR TIWARI,Aap Sabki Apni Party,-575285.0
Chhattisgarh,RAIPUR,ENGI. LAL BAHADUR YADAV,Gondvana Gantantra Party,-575285.0
Chhattisgarh,RAIPUR,MO. IMRAN KHAN,Independent,-575285.0
Chhattisgarh,RAIPUR,NEERAJ SAINI PUJARI,Dhoom Sena,-575285.0
Chhattisgarh,RAIPUR,SUDHANSHU BHUSHAN,Independent,-575285.0
Chhattisgarh,RAIPUR,RAMPRASAD PRAJAPATI,Independent,-575285.0
Chhattisgarh,RAIPUR,PRAVIN JAIN,Independent,-575285.0
Chhattisgarh,RAIPUR,VINAYAK DHAMGAYE,Independent,-575285.0
Chhattisgarh,RAIPUR,NANDNI NAYAK,Independent,-575285.0
Chhattisgarh,RAIPUR,PRAVISHANT SALOMAN,Independent,-575285.0
Chhattisgarh,RAIPUR,SAYED IRSHAD,Independent,-575285.0
Chhattisgarh,RAIPUR,DR. OMPRAKASH SAHU,Independent,-575285.0
Chhattisgarh,RAIPUR,MANOJ VERMA,Independent,-575285.0
Chhattisgarh,RAIPUR,ANIL MAHOBIA,Right to Recall Party,-575285.0
Chhattisgarh,RAIPUR,YAKUB KHAN,Independent,-575285.0
Chhattisgarh,RAIPUR,NOTA,None of the Above,-575285.0
Chhattisgarh,RAIPUR,MO. NASIR,Independent,-575285.0
Chhattisgarh,RAIPUR,SURESH KUMAR NETAM,Hamar Raj Party,-575285.0
Chhattisgarh,RAIPUR,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,-575285.0
Chhattisgarh,RAIPUR,NURI KHAN,Independent,-575285.0
Chhattisgarh,RAIPUR,MAMTA RANI SAHU,Bahujan Samaj Party,-575285.0
Chhattisgarh,RAIPUR,RADHESHWARI GAIKWAD,Independent,-575285.0
Chhattisgarh,RAIPUR,VIKAS UPADHYAY,Indian National Congress,-575285.0
Chhattisgarh,RAIPUR,SAVITA SHAILENDRA BANJARE,Shakti Sena (Bharat Desh),-575285.0
Tamil Nadu,TIRUVALLUR,Sasikanth Senthil,Indian National Congress,-572155.0
Tamil Nadu,TIRUVALLUR,"Balaganapathy, V. Pon",Bharatiya Janata Party,-572155.0
Tamil Nadu,TIRUVALLUR,"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,-572155.0
Tamil Nadu,TIRUVALLUR,"Jagadesh Chander, M.",Naam Tamilar Katchi,-572155.0
Tamil Nadu,TIRUVALLUR,"Tamizhmadhi, D.",Bahujan Samaj Party,-572155.0
Tamil Nadu,TIRUVALLUR,"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,-572155.0
Tamil Nadu,TIRUVALLUR,"Mani, E.",Independent,-572155.0
Tamil Nadu,TIRUVALLUR,"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,-572155.0
Tamil Nadu,TIRUVALLUR,"Manimaran, V.",Independent,-572155.0
Tamil Nadu,TIRUVALLUR,NOTA,None of the Above,-572155.0
Tamil Nadu,TIRUVALLUR,"Bharathidasan, S.S.",Independent,-572155.0
Tamil Nadu,TIRUVALLUR,"Balakrishnan, K.",Independent,-572155.0
Tamil Nadu,TIRUVALLUR,Malathi,Naadaalum Makkal Katchi,-572155.0
Tamil Nadu,TIRUVALLUR,"Shakthivel, A.J.",Independent,-572155.0
Tamil Nadu,TIRUVALLUR,"Sivasankaran, V.",Independent,-572155.0
Telangana,Nalgonda,RAMESH SUNKARA,Independent,-559905.0
Telangana,Nalgonda,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,-559905.0
Telangana,Nalgonda,KANCHARLA KRISHNA REDDY,Bharat Rashtra Samithi,-559905.0
Telangana,Nalgonda,SHIRISHALA SRINAIAH,Independent,-559905.0
Telangana,Nalgonda,KINNERA YADAIAH,Independent,-559905.0
Telangana,Nalgonda,LINGAM KRISHNA,Independent,-559905.0
Telangana,Nalgonda,RACHA SUBHADRA REDDY,Socialist Party (India),-559905.0
Telangana,Nalgonda,KUNDARAPU SRIKANTH,Independent,-559905.0
Telangana,Nalgonda,VASKULA MATTAIAH,Marxist Communist Party of India (United),-559905.0
Telangana,Nalgonda,RAVI PALAKURI,Independent,-559905.0
Telangana,Nalgonda,GOLI SAIDULU,Independent,-559905.0
Telangana,Nalgonda,KUKKALA VENKANNA,Independent,-559905.0
Telangana,Nalgonda,POLISHETTY VENKATESHWARLU,Independent,-559905.0
Telangana,Nalgonda,KUNDURU RAGHUVEER,Indian National Congress,-559905.0
Telangana,Nalgonda,ANJAIAH VIRIGINENI,Bahujan Samaj Party,-559905.0
Telangana,Nalgonda,NAGARAJU BANDARU,Independent,-559905.0
Telangana,Nalgonda,NOTA,None of the Above,-559905.0
Telangana,Nalgonda,MARAM VENKAT REDDY,Independent,-559905.0
Telangana,Nalgonda,PANUGOTU LALASINGH,Independent,-559905.0
Telangana,Nalgonda,THALARI RAMBABU,Dharma Samaj Party,-559905.0
Telangana,Nalgonda,MARRI NEHEMIAH,Independent,-559905.0
Telangana,Nalgonda,CHOLLETI PRABHAKAR,Independent,-559905.0
Telangana,Nalgonda,JANAIAH NANDIPATI,Telangana Sakalajanula Party,-559905.0
Uttar Pradesh,Gautam Buddha Nagar,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,NOTA,None of the Above,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,BHIM PRAKASH JIGYASU,Viro Ke Vir Indian Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,MOHD. MUMTAJ AALAM,Independent,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,SHIVAM ASHUTOSH,Independent,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,MANISH KUMAR DWIVEDI,Akhil Bhartiya Parivar Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,KISHOR SINGH,National Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,MAHKAR SINGH,Independent,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,KM. SHALU,Loktantrik Janshakti Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,PARAG KAUSHIK,Independent,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,NARESH NAUTIYAL,Bhartiya Rashtriya Jansatta,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,RAN SINGH DUDEE,Super Power India Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,RAJEEV MISHRA,Jai Hind National Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,NARAVEDASHVAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),-559472.0
Uttar Pradesh,Gautam Buddha Nagar,DR. MAHESH SHARMA,Bharatiya Janata Party,-559472.0
Uttar Pradesh,Gautam Buddha Nagar,RAJENDRA SINGH SOLANKI,Bahujan Samaj Party,-559472.0
Madhya Pradesh,KHAJURAHO,BITIAYA AHIRWAR,Independent,-541229.0
Madhya Pradesh,KHAJURAHO,R. B. PRAJAPATI (RAJA BHAIYA) EX.I.A.S.,All India Forward Bloc,-541229.0
Madhya Pradesh,KHAJURAHO,KAMLESH KUMAR,Bahujan Samaj Party,-541229.0
Madhya Pradesh,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,-541229.0
Madhya Pradesh,KHAJURAHO,PENTER SUNMAN SINGH LODHI,Independent,-541229.0
Madhya Pradesh,KHAJURAHO,KAPIL GUPTA BHARTIYA,Akhil Bhartiya Parivar Party,-541229.0
Madhya Pradesh,KHAJURAHO,LAXMI PRASAD,Independent,-541229.0
Madhya Pradesh,KHAJURAHO,NANDKISHOR,Peoples Party of India (Democratic),-541229.0
Madhya Pradesh,KHAJURAHO,PANKAJ MAURYA (KUSHWAHA),Gondvana Gantantra Party,-541229.0
Madhya Pradesh,KHAJURAHO,MOHAMMAD IMRAN,Rashtriya Jansambhavna Party,-541229.0
Madhya Pradesh,KHAJURAHO,FIROJKHAN,Independent,-541229.0
Madhya Pradesh,KHAJURAHO,GIRAN SINGH,Bhartiya Shakti Chetna Party,-541229.0
Madhya Pradesh,KHAJURAHO,KESHKALI,Rashtriya Jansanchar Dal,-541229.0
Madhya Pradesh,KHAJURAHO,NOTA,None of the Above,-541229.0
Madhya Pradesh,KHAJURAHO,PANNA LAL TRIPATHI AD.,Indian Peoples Adhikar Party,-541229.0
Madhya Pradesh,GUNA,RAKESH,Independent,-540929.0
Madhya Pradesh,GUNA,GAJANAND KUSHWAH,Independent,-540929.0
Madhya Pradesh,GUNA,HEMANT SINGH KUSHWAHA,Independent,-540929.0
Madhya Pradesh,GUNA,ADVOCATE KARANSINGH JATAV,Aazad Samaj Party (Kanshi Ram),-540929.0
Madhya Pradesh,GUNA,MOHAN,Independent,-540929.0
Madhya Pradesh,GUNA,NOTA,None of the Above,-540929.0
Madhya Pradesh,GUNA,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,-540929.0
Madhya Pradesh,GUNA,DHANIRAM CHAUDHARY,Bahujan Samaj Party,-540929.0
Madhya Pradesh,GUNA,MANISH SHRIVASTAVA,Socialist Unity Centre Of India (COMMUNIST),-540929.0
Madhya Pradesh,GUNA,MANMOHAN,Independent,-540929.0
Madhya Pradesh,GUNA,KISAN LAL AHIRWAR,Independent,-540929.0
Madhya Pradesh,GUNA,MOHAMMAD JAVED ANSARI,Rashtriya Jansena Party,-540929.0
Madhya Pradesh,GUNA,D.S. CHAUHAN (ADVOCATE),Rashtriya Samaj Paksha,-540929.0
Madhya Pradesh,GUNA,MAHENDRA JAIN BHAIYAN,Independent,-540929.0
Madhya Pradesh,GUNA,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,-540929.0
Madhya Pradesh,GUNA,KANCHHEDI LAL KUSHWAHA,Mahanwadi Party,-540929.0
Gujarat,Panchmahal,GULABSINH SOMSINH CHAUHAN,Indian National Congress,-509342.0
Gujarat,Panchmahal,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,-509342.0
Gujarat,Panchmahal,JITESHKUMAR GHANSHYAMBHAI SEVAK,Dhanwan Bharat Party,-509342.0
Gujarat,Panchmahal,MANOJSINH RANAJITSINH RATHOD,Independent,-509342.0
Gujarat,Panchmahal,LAXMANBHAI GALABHAI BARIYA,"Aam Janmat Party,",-509342.0
Gujarat,Panchmahal,NOTA,None of the Above,-509342.0
Gujarat,Panchmahal,TASLIM MOHAMMEDRAFIK DURVESH,Independent,-509342.0
Gujarat,Panchmahal,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,-509342.0
Gujarat,Panchmahal,HASMUKHKUMAR GANPATSINH RATHOD,Independent,-509342.0
