S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Andhra Pradesh,Amalapuram,7
2,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,450362,4423,454785,34.95,Andhra Pradesh,Amalapuram,7
3,GOUTHAM JANGA,Indian National Congress,14523,559,15082,1.16,Andhra Pradesh,Amalapuram,7
4,DORABABU YALLA,Bahujan Samaj Party,5202,186,5388,0.41,Andhra Pradesh,Amalapuram,7
5,KATRU NAGA BABU,Telugu Nava Garjana Party,3736,5,3741,0.29,Andhra Pradesh,Amalapuram,7
6,VADDI LALITH KUMAR,Independent,2974,3,2977,0.23,Andhra Pradesh,Amalapuram,7
7,MAKEY DAVY PRASAD,Independent,2104,7,2111,0.16,Andhra Pradesh,Amalapuram,7
8,GUDE VENKATESWARULU,Independent,1741,4,1745,0.13,Andhra Pradesh,Amalapuram,7
9,RAMESH JILLELLA,Jatiya Jana Sena Party,866,6,872,0.07,Andhra Pradesh,Amalapuram,7
10,YALANGI RAMESH,Jaibhim Rao Bharat Party,738,2,740,0.06,Andhra Pradesh,Amalapuram,7
11,MATHA KRISHNA,Pyramid Party of India,718,1,719,0.06,Andhra Pradesh,Amalapuram,7
12,GIDDI JNANA PRAKASA RAO,Republican Party of India,717,9,726,0.06,Andhra Pradesh,Amalapuram,7
13,YADLA RAJESH,Liberation Congress Party,628,7,635,0.05,Andhra Pradesh,Amalapuram,7
14,KAPA KALYAN,Republican Party of India (A),579,2,581,0.04,Andhra Pradesh,Amalapuram,7
15,PATHURI RAMESH,Peoples Party of India (Democratic),502,3,505,0.04,Andhra Pradesh,Amalapuram,7
16,NOTA,None of the Above,13418,100,13518,1.04,Andhra Pradesh,Amalapuram,7
