S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,Andhra Pradesh,Machilipatnam
2,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,495211,6049,501260,38.21,Andhra Pradesh,Machilipatnam
3,GOLLU KRISHNA,Indian National Congress,31130,695,31825,2.43,Andhra Pradesh,Machilipatnam
4,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,10518,623,11141,0.85,Andhra Pradesh,Machilipatnam
5,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,9911,117,10028,0.76,Andhra Pradesh,Machilipatnam
6,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5245,9,5254,0.4,Andhra Pradesh,Machilipatnam
7,VALLABHANENI NAGA PAVAN KUMAR,Independent,5206,14,5220,0.4,Andhra Pradesh,Machilipatnam
8,MARADANI K R SWAMY,Jai Maha Bharath Party,2206,8,2214,0.17,Andhra Pradesh,Machilipatnam
9,GANDHI  DHANEKULA,Independent,1989,2,1991,0.15,Andhra Pradesh,Machilipatnam
10,PAMULA BALA SOWRYAMMA,Independent,1576,6,1582,0.12,Andhra Pradesh,Machilipatnam
11,ANUSHA YERUVA,Independent,1233,2,1235,0.09,Andhra Pradesh,Machilipatnam
12,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1102,9,1111,0.08,Andhra Pradesh,Machilipatnam
13,JOGI VEERANJANEYULU,Independent,1020,2,1022,0.08,Andhra Pradesh,Machilipatnam
14,DAMODARA RAO GUDAVALLI,Independent,928,2,930,0.07,Andhra Pradesh,Machilipatnam
15,APPARAO ENNETI,Independent,625,1,626,0.05,Andhra Pradesh,Machilipatnam
16,NOTA,None of the Above,12008,118,12126,0.92,Andhra Pradesh,Machilipatnam
