S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46,Andhra Pradesh,Narsapuram,9
2,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037,4504,430541,34.98,Andhra Pradesh,Narsapuram,9
3,K.B.R.NAIDU,Indian National Congress,34298,915,35213,2.86,Andhra Pradesh,Narsapuram,9
4,PRASANNA KUMAR UNDURTHI,Independent,6350,14,6364,0.52,Andhra Pradesh,Narsapuram,9
5,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966,3,5969,0.48,Andhra Pradesh,Narsapuram,9
6,SIRRA RAJU,Bahujan Samaj Party,5945,69,6014,0.49,Andhra Pradesh,Narsapuram,9
7,BALAGAM NAYAKAR,Independent,5232,8,5240,0.43,Andhra Pradesh,Narsapuram,9
8,NALLI RAJESH,Independent,4684,-,4684,0.38,Andhra Pradesh,Narsapuram,9
9,KETHA SREENU,Independent,3140,5,3145,0.26,Andhra Pradesh,Narsapuram,9
10,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112,4,3116,0.25,Andhra Pradesh,Narsapuram,9
11,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781,2,2783,0.23,Andhra Pradesh,Narsapuram,9
12,ANAND CHANDULAL JASTI,Independent,2726,-,2726,0.22,Andhra Pradesh,Narsapuram,9
13,GANJI PURNIMA,Republican Party of India (A),1645,4,1649,0.13,Andhra Pradesh,Narsapuram,9
14,GEDALA LAXMANA RAO,Independent,1525,2,1527,0.12,Andhra Pradesh,Narsapuram,9
15,ADDANKI DORABABU,Independent,1388,5,1393,0.11,Andhra Pradesh,Narsapuram,9
16,GOTTUMUKKALA SHIVAJI,Independent,1378,6,1384,0.11,Andhra Pradesh,Narsapuram,9
17,ADINARAYANA DUPPANAPUDI,Independent,1002,5,1007,0.08,Andhra Pradesh,Narsapuram,9
18,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922,8,930,0.08,Andhra Pradesh,Narsapuram,9
19,RAMA DURGA PRASAD THOLETI,Independent,919,1,920,0.07,Andhra Pradesh,Narsapuram,9
20,RUKHMINI,Independent,683,3,686,0.06,Andhra Pradesh,Narsapuram,9
21,ADABALA SIVA,Independent,682,1,683,0.06,Andhra Pradesh,Narsapuram,9
22,NOTA,None of the Above,7554,123,7677,0.62,Andhra Pradesh,Narsapuram,9
