S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88,Andhra Pradesh,Narsaraopet,14
2,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,43.23,Andhra Pradesh,Narsaraopet,14
3,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,1.2,Andhra Pradesh,Narsaraopet,14
4,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,0.35,Andhra Pradesh,Narsaraopet,14
5,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328,8,2336,0.16,Andhra Pradesh,Narsaraopet,14
6,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243,2,1245,0.08,Andhra Pradesh,Narsaraopet,14
7,YAMPATI VEERANJANEYA REDDY,Independent,1056,1,1057,0.07,Andhra Pradesh,Narsaraopet,14
8,SUBBARAO CHALLA,Independent,1051,-,1051,0.07,Andhra Pradesh,Narsaraopet,14
9,ABDUL RAJAK SHAIK,Independent,718,5,723,0.05,Andhra Pradesh,Narsaraopet,14
10,KOTA POTHURAJU,Pyramid Party of India,667,3,670,0.04,Andhra Pradesh,Narsaraopet,14
11,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385,3,388,0.03,Andhra Pradesh,Narsaraopet,14
12,PASUPULETI PICHAIAH,National Nava Kranthi Party,353,3,356,0.02,Andhra Pradesh,Narsaraopet,14
13,PAPPULA SAMBASIVA RAO,Navarang Congress Party,331,1,332,0.02,Andhra Pradesh,Narsaraopet,14
14,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305,4,309,0.02,Andhra Pradesh,Narsaraopet,14
15,THOKALA NAGA RAJU,All India Forward Bloc,277,8,285,0.02,Andhra Pradesh,Narsaraopet,14
16,NOTA,None of the Above,11120,79,11199,0.75,Andhra Pradesh,Narsaraopet,14
