S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21,Andhra Pradesh,Vijayawada
2,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,505637,6432,512069,37.53,Andhra Pradesh,Vijayawada
3,BHARGAV VALLURU,Indian National Congress,23498,608,24106,1.77,Andhra Pradesh,Vijayawada
4,KRISHNA KISHORE YANAMANDRA,Navataram Party,7710,168,7878,0.58,Andhra Pradesh,Vijayawada
5,VENKATA ASHOK PAPPURI,Independent,6672,-,6672,0.49,Andhra Pradesh,Vijayawada
6,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199,-,3199,0.23,Andhra Pradesh,Vijayawada
7,MEKA VENKATESWARA RAO,Bahujan Samaj Party,2184,49,2233,0.16,Andhra Pradesh,Vijayawada
8,ANIL KUMAR MADDINENI,Independent,1240,-,1240,0.09,Andhra Pradesh,Vijayawada
9,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,609,6,615,0.05,Andhra Pradesh,Vijayawada
10,SYED KHAMURUNNISA,Navarang Congress Party,600,1,601,0.04,Andhra Pradesh,Vijayawada
11,CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,486,3,489,0.04,Andhra Pradesh,Vijayawada
12,DATLA LURTHU MERI,Jaibhim Rao Bharat Party,409,8,417,0.03,Andhra Pradesh,Vijayawada
13,PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),365,3,368,0.03,Andhra Pradesh,Vijayawada
14,DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,328,3,331,0.02,Andhra Pradesh,Vijayawada
15,GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),323,4,327,0.02,Andhra Pradesh,Vijayawada
16,N DASARADHA RAMI REDDY,All India Jaihind Party,268,1,269,0.02,Andhra Pradesh,Vijayawada
17,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239,5,244,0.02,Andhra Pradesh,Vijayawada
18,NOTA,None of the Above,9038,155,9193,0.67,Andhra Pradesh,Vijayawada
