S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,Assam,Barpeta,3
2,DEEP BAYAN,Indian National Congress,635411,2351,637762,37.83,Assam,Barpeta,3
3,MANORANJAN TALUKDAR,Communist Party of India  (Marxist),95020,1118,96138,5.7,Assam,Barpeta,3
4,ABUL KALAM AZAD,All India Trinamool Congress,16359,73,16432,0.97,Assam,Barpeta,3
5,DEWAN MOHIBUL ISLAM,Independent,9930,11,9941,0.59,Assam,Barpeta,3
6,SAMEJ UDDIN,Bodoland Peoples Front,9515,177,9692,0.57,Assam,Barpeta,3
7,DULU AHMED,Independent,9275,63,9338,0.55,Assam,Barpeta,3
8,MATIAR RAHMAN,Independent,7920,15,7935,0.47,Assam,Barpeta,3
9,JAGANNATH RAY,Independent,5474,74,5548,0.33,Assam,Barpeta,3
10,SHAJAHAN ALI KHAN,Voters Party  International,4441,7,4448,0.26,Assam,Barpeta,3
11,AYNAL HAQUE,Independent,3174,18,3192,0.19,Assam,Barpeta,3
12,CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST),3060,71,3131,0.19,Assam,Barpeta,3
13,AMZAD ALI,Republican Party of India (Athawale),2657,22,2679,0.16,Assam,Barpeta,3
14,ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council,2463,14,2477,0.15,Assam,Barpeta,3
15,NOTA,None of the Above,16888,229,17117,1.02,Assam,Barpeta,3
