S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,DILIP SAIKIA,Bharatiya Janata Party,864583,3804,868387,47.95,Assam,Darrang-Udalguri,4
2,MADHAB RAJBANGSHI,Indian National Congress,538032,1343,539375,29.78,Assam,Darrang-Udalguri,4
3,DURGADAS BORO,Bodoland Peoples Front,309040,1534,310574,17.15,Assam,Darrang-Udalguri,4
4,DANIEL MARDI,Independent,14277,14,14291,0.79,Assam,Darrang-Udalguri,4
5,AROON BAROOA,Bharatheeya Jawan Kisan Party,12519,44,12563,0.69,Assam,Darrang-Udalguri,4
6,SWARNA DEVI,Gana Suraksha Party,11067,45,11112,0.61,Assam,Darrang-Udalguri,4
7,LALIT PEGU,Voters Party  International,10887,28,10915,0.6,Assam,Darrang-Udalguri,4
8,JITENDRA CHALIHA,Socialist Unity Centre Of India (COMMUNIST),7421,31,7452,0.41,Assam,Darrang-Udalguri,4
9,ABUL KASEM,Republican Party of India (Athawale),4956,17,4973,0.27,Assam,Darrang-Udalguri,4
10,BIREN BASAK,Bharatiya Gana Parishad,4605,18,4623,0.26,Assam,Darrang-Udalguri,4
11,ABDUL HAMED,Rashtriya Ulama Council,3721,10,3731,0.21,Assam,Darrang-Udalguri,4
12,NOTA,None of the Above,23086,118,23204,1.28,Assam,Darrang-Udalguri,4
