S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,Assam,Karimganj,7
2,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,524390,2343,526733,45.93,Assam,Karimganj,7
3,SAHABUL ISLAM CHOUDHURY,All India United Democratic Front,29070,135,29205,2.55,Assam,Karimganj,7
4,JIBESH DEB,Independent,7105,4,7109,0.62,Assam,Karimganj,7
5,DEBOJYOTI NATH,Independent,5900,7,5907,0.52,Assam,Karimganj,7
6,AHAD UDDIN,Rashtriya Ulama Council,4186,6,4192,0.37,Assam,Karimganj,7
7,BINAY KRISHNA ROY,Independent,3621,7,3628,0.32,Assam,Karimganj,7
8,DILIP KUMAR,Independent,2623,7,2630,0.23,Assam,Karimganj,7
9,ROSID AHMED LASKAR,Independent,2600,1,2601,0.23,Assam,Karimganj,7
10,MUZAKKIR HASAN LASKAR,Independent,2287,4,2291,0.2,Assam,Karimganj,7
11,ABDUL BASIT TAPADAR,Independent,1912,11,1923,0.17,Assam,Karimganj,7
12,GOPAL CHANDRA PAUL,Independent,1650,7,1657,0.14,Assam,Karimganj,7
13,MD. NAZRUL ISLAM LASKAR,Independent,1382,-,1382,0.12,Assam,Karimganj,7
14,SAHEL AHMED,Independent,1110,1,1111,0.1,Assam,Karimganj,7
15,ABDUL GOFFAR TALUKDAR,Independent,1094,1,1095,0.1,Assam,Karimganj,7
16,SAFIKUR RAHMAN HAZARI,Independent,1031,-,1031,0.09,Assam,Karimganj,7
17,PRAJJWAL SUDIP DEB,Socialist Unity Centre Of India (COMMUNIST),994,7,1001,0.09,Assam,Karimganj,7
18,ABDUL KALAM MAZUMDER,Independent,975,-,975,0.09,Assam,Karimganj,7
19,ALIM UDDIN MAZUMDER,Independent,881,1,882,0.08,Assam,Karimganj,7
20,ABDUL HAMEED,Independent,841,1,842,0.07,Assam,Karimganj,7
21,DEBASHISH GHOSH,Bangali Nabanirman Sena,800,17,817,0.07,Assam,Karimganj,7
22,RASHID AHMED CHOUDHURY,Independent,719,2,721,0.06,Assam,Karimganj,7
23,ABDUS  SUBHAN TAPADAR,Independent,568,3,571,0.05,Assam,Karimganj,7
24,ROKIBUL HUSSAIN CHOUDHURY,Independent,539,6,545,0.05,Assam,Karimganj,7
25,NOTA,None of the Above,2851,89,2940,0.26,Assam,Karimganj,7
