S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04,Assam,Kaziranga
2,ROSELINA TIRKEY,Indian National Congress,646123,1973,648096,39.76,Assam,Kaziranga
3,DILUWARA BEGUM CHOWDHURY,Independent,11719,24,11743,0.72,Assam,Kaziranga
4,BINOD GOGOI,Independent,10625,54,10679,0.66,Assam,Kaziranga
5,ANIMA DEKA GUPTA,Voters Party  International,8641,32,8673,0.53,Assam,Kaziranga
6,TRIDIV JYOTI BHUYAN,Independent,8091,37,8128,0.5,Assam,Kaziranga
7,ABDUL HOQUE,Independent,6395,46,6441,0.4,Assam,Kaziranga
8,JYOTISKA RANJAN GOSWAMI,Independent,4494,44,4538,0.28,Assam,Kaziranga
9,SAILEN CH MALAKAR,Bharatiya Gana Parishad,3698,22,3720,0.23,Assam,Kaziranga
10,SALIM AHMED,Asom Jana Morcha,3243,23,3266,0.2,Assam,Kaziranga
11,SALEH AHMED MAZUMDAR,Republican Party of India (Athawale),3160,19,3179,0.2,Assam,Kaziranga
12,NOTA,None of the Above,24212,219,24431,1.5,Assam,Kaziranga
