S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,Assam,Lakhimpur
2,UDAY SHANKAR HAZARIKA,Indian National Congress,458720,3145,461865,38.13,Assam,Lakhimpur
3,DHIREN KACHARI,Communist Party of India,19562,69,19631,1.62,Assam,Lakhimpur
4,GHANA KANTA CHUTIA,All India Trinamool Congress,14055,142,14197,1.17,Assam,Lakhimpur
5,BIKRAM RAMCHIARY,Independent,10218,75,10293,0.85,Assam,Lakhimpur
6,GOBIN BISWAKARMA,Independent,7461,65,7526,0.62,Assam,Lakhimpur
7,DEBA NATH PAIT,Independent,6143,20,6163,0.51,Assam,Lakhimpur
8,PALLAB PEGU,Socialist Unity Centre Of India (COMMUNIST),6051,86,6137,0.51,Assam,Lakhimpur
9,BIREN BAILUNG,Voters Party  International,5329,30,5359,0.44,Assam,Lakhimpur
10,NOTA,None of the Above,16716,205,16921,1.4,Assam,Lakhimpur
