S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88,Bihar,Jahanabad
2,CHANDESHWAR PRASAD,Janata Dal  (United),299044,1400,300444,32.47,Bihar,Jahanabad
3,ARUN KUMAR,Bahujan Samaj Party,85696,684,86380,9.33,Bihar,Jahanabad
4,MINTA DEVI,Independent,16112,11,16123,1.74,Bihar,Jahanabad
5,MUNILAL YADAV,Independent,13021,8,13029,1.41,Bihar,Jahanabad
6,ASHUTOSH KUMAR,Rashtriya Jan Jan Party,12954,259,13213,1.43,Bihar,Jahanabad
7,DEEPAK KUMAR,Jagrook Janta Party,8944,26,8970,0.97,Bihar,Jahanabad
8,BUDDHADEV SAV,Independent,5765,8,5773,0.62,Bihar,Jahanabad
9,NARESH KUMAR,Independent,5709,3,5712,0.62,Bihar,Jahanabad
10,CHANDESHWAR PRASAD,Independent,5356,22,5378,0.58,Bihar,Jahanabad
11,PIYUSH SINGH,Shoshit Samaj Dal,4611,7,4618,0.5,Bihar,Jahanabad
12,RAJ KISHOR SHARMA,Bhartiya Sarthak Party,3230,13,3243,0.35,Bihar,Jahanabad
13,KAPIL CHAUHAN,Jan Janwadi Party,2954,10,2964,0.32,Bihar,Jahanabad
14,ASHUTOSH VINAY KUMAR,Rashtriya Garib Dal,2895,14,2909,0.31,Bihar,Jahanabad
15,UMA SHANKAR VERMA,Socialist Unity Centre Of India (COMMUNIST),2509,15,2524,0.27,Bihar,Jahanabad
16,NOTA,None of the Above,10960,95,11055,1.19,Bihar,Jahanabad
