S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),378922,1659,380581,36.89,Bihar,Karakat
2,PAWAN SINGH,Independent,273546,1177,274723,26.63,Bihar,Karakat
3,UPENDRA KUSHWAHA,Rashtriya Lok Morcha,253088,788,253876,24.61,Bihar,Karakat
4,DHEERAJ KUMAR SINGH,Bahujan Samaj Party,23549,108,23657,2.29,Bihar,Karakat
5,RAJA RAM SINGH,Independent,21357,26,21383,2.07,Bihar,Karakat
6,PRIYANKA PRASAD CHOUDHARY,All India Majlis-E-Ittehadul Muslimeen,10983,23,11006,1.07,Bihar,Karakat
7,AJEET KUMAR SINGH,Peoples Party of India (Democratic),9634,19,9653,0.94,Bihar,Karakat
8,VIKASH VINAYAK,Jan Janwadi Party,7661,3,7664,0.74,Bihar,Karakat
9,INDRA RAJ ROUSHAN,Independent,6315,9,6324,0.61,Bihar,Karakat
10,PRADEEP KUMAR JOSHI,Rashtra Sewa Dal,5891,28,5919,0.57,Bihar,Karakat
11,AVADHESH PASAWAN,Bharatiya Aam Awam Party,5527,58,5585,0.54,Bihar,Karakat
12,RAJESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),5003,3,5006,0.49,Bihar,Karakat
13,PRAYAG PASWAN,Socialist Unity Centre Of India (COMMUNIST),4641,5,4646,0.45,Bihar,Karakat
14,NOTA,None of the Above,21548,47,21595,2.09,Bihar,Karakat
