S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73,Bihar,Khagaria
2,SANJAY KUMAR,Communist Party of India  (Marxist),375988,1538,377526,35.55,Bihar,Khagaria
3,RUPAM DEVI,Independent,27370,25,27395,2.58,Bihar,Khagaria
4,SONU KUMAR,Independent,24478,5,24483,2.31,Bihar,Khagaria
5,PINKESH KUMAR,Rashtriya Jan Kalyan Party Secular,19487,8,19495,1.84,Bihar,Khagaria
6,DR RAVI KUMAR,Bahujan Samaj Party,13894,159,14053,1.32,Bihar,Khagaria
7,AJAY KUMAR,Rashtriya Jansambhavna Party,8256,54,8310,0.78,Bihar,Khagaria
8,PRIYADARSHEE DINKAR,Independent,7892,12,7904,0.74,Bihar,Khagaria
9,DINANATH CHANDRAVANSHI,Independent,6142,20,6162,0.58,Bihar,Khagaria
10,CHANDRA KISHOR THAKUR,Aam Janta Party Rashtriya,2806,43,2849,0.27,Bihar,Khagaria
11,ASIF IMAM,Aadarsh Mithila Party,2434,9,2443,0.23,Bihar,Khagaria
12,KANCHAN MALA,Hindustan People's Party (Democratic),1478,28,1506,0.14,Bihar,Khagaria
13,NOTA,None of the Above,31056,55,31111,2.93,Bihar,Khagaria
