S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71,Bihar,Muzaffarpur,15
2,AJAY NISHAD,Indian National Congress,383759,1063,384822,34.59,Bihar,Muzaffarpur,15
3,ALOK KUMAR SINH,Independent,17225,-,17225,1.55,Bihar,Muzaffarpur,15
4,AWADHESH PRASAD SINGH,Independent,15617,1,15618,1.4,Bihar,Muzaffarpur,15
5,JITENDRA KUMAR,Independent,8692,8,8700,0.78,Bihar,Muzaffarpur,15
6,NILIMA KUMARI,Independent,7309,1,7310,0.66,Bihar,Muzaffarpur,15
7,VIJAYESH KUMAR,Bahujan Samaj Party,6530,17,6547,0.59,Bihar,Muzaffarpur,15
8,AJAY SAHNI,Independent,5157,1,5158,0.46,Bihar,Muzaffarpur,15
9,SUNITA KUMARI,Bajjikanchal Vikas Party,4791,1,4792,0.43,Bihar,Muzaffarpur,15
10,MOHAMMAD ANZARUL HASAN,All India Majlis-E-Ittehadul Muslimeen,4121,10,4131,0.37,Bihar,Muzaffarpur,15
11,MD HAIDAR,Independent,3897,-,3897,0.35,Bihar,Muzaffarpur,15
12,MUKESH KUMAR,Independent,3225,-,3225,0.29,Bihar,Muzaffarpur,15
13,SUDHIR KUMAR OJHA,Bhartiya Sarthak Party,2890,3,2893,0.26,Bihar,Muzaffarpur,15
14,SABINA KHATOON,Indian National League,2445,8,2453,0.22,Bihar,Muzaffarpur,15
15,SANDIP KUMAR,Jantantra Awaj Party,1968,3,1971,0.18,Bihar,Muzaffarpur,15
16,ARVIND KUMAR CHAUDHARY,Socialist Unity Centre Of India (COMMUNIST),1852,5,1857,0.17,Bihar,Muzaffarpur,15
17,AJITANSH GAUR,The Agrani Party,1840,3,1843,0.17,Bihar,Muzaffarpur,15
18,SANJAY KUMAR,Independent,1811,1,1812,0.16,Bihar,Muzaffarpur,15
19,BASKIT KUMAR SHARMA,Independent,1778,1,1779,0.16,Bihar,Muzaffarpur,15
20,SONELAL PASWAN,Independent,1730,1,1731,0.16,Bihar,Muzaffarpur,15
21,MANORANJAN KUMAR,Independent,1595,3,1598,0.14,Bihar,Muzaffarpur,15
22,NAND KISHORE SHARMA,Apna Kisan Party,1521,1,1522,0.14,Bihar,Muzaffarpur,15
23,ABHAY KUMAR,Samata Party,1170,4,1174,0.11,Bihar,Muzaffarpur,15
24,PRABHAKAR RANJAN,Ekam Sanatan Bharat Dal,1115,1,1116,0.1,Bihar,Muzaffarpur,15
25,RAJU SINGH,Independent,984,-,984,0.09,Bihar,Muzaffarpur,15
26,SAROJ KUMAR CHAUDHARY,Independent,965,-,965,0.09,Bihar,Muzaffarpur,15
27,NOTA,None of the Above,7539,49,7588,0.68,Bihar,Muzaffarpur,15
