S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KAUSHALENDRA KUMAR,Janata Dal  (United),557054,2368,559422,48.88,Bihar,Nalanda
2,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),388052,2256,390308,34.11,Bihar,Nalanda
3,SUDHIR KUMAR,Sanyukt Kisan Vikas Party,25286,5,25291,2.21,Bihar,Nalanda
4,SURENDRA PRASAD,Al-Hind Party,18571,5,18576,1.62,Bihar,Nalanda
5,SHASHI KUMAR,Samaj Shakti Party,18472,8,18480,1.61,Bihar,Nalanda
6,PRAMOD KUMAR NIRALA,Bahujan Samaj Party,15233,99,15332,1.34,Bihar,Nalanda
7,AJEET KUMAR,Independent,14746,4,14750,1.29,Bihar,Nalanda
8,VINAY PRATAP SINGH,Rashtriya Sanatan Party,9593,9,9602,0.84,Bihar,Nalanda
9,SANJAY RAJESH,Karpoori Janta Dal,7878,9,7887,0.69,Bihar,Nalanda
10,SUDHIR DAS,Independent,6804,2,6806,0.59,Bihar,Nalanda
11,KANHAIYA LAL YADAV,Jagrook Janta Party,6665,27,6692,0.58,Bihar,Nalanda
12,SANYUKTA KUMARI,Independent,6232,6,6238,0.55,Bihar,Nalanda
13,AJIT KUMAR,Independent,5515,5,5520,0.48,Bihar,Nalanda
14,SHYAM SUNDAR PRASAD,Independent,3922,10,3932,0.34,Bihar,Nalanda
15,RAMESH KUMAR,Naki Bharatiya Ekta Party,3840,5,3845,0.34,Bihar,Nalanda
16,KISLAY KUMAR,Independent,3599,3,3602,0.31,Bihar,Nalanda
17,KESHO JAMADAR,Peoples Party of India (Democratic),3369,18,3387,0.3,Bihar,Nalanda
18,SURENDER SINGH,Independent,3341,4,3345,0.29,Bihar,Nalanda
19,DILIP KUMAR,Moolniwasi Samaj Party,2724,5,2729,0.24,Bihar,Nalanda
20,NAND KISHOR PARASAD,Pragatisheel Magahi Samaj,2456,12,2468,0.22,Bihar,Nalanda
21,NISHA RANJAN,Samata Party,2397,18,2415,0.21,Bihar,Nalanda
22,SHASHIRANJAN SUMAN,Independent,2331,9,2340,0.2,Bihar,Nalanda
23,GHANSHYAM PRASAD SINGH,Independent,2108,2,2110,0.18,Bihar,Nalanda
24,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,1971,9,1980,0.17,Bihar,Nalanda
25,MUNNA KUMAR,Sankhyanupati Bhagidari Party,1937,12,1949,0.17,Bihar,Nalanda
26,MUNNA KUMAR,Samajwadi Lok Parishad,1867,13,1880,0.16,Bihar,Nalanda
27,PAWAN KUMAR,Independent,1595,2,1597,0.14,Bihar,Nalanda
28,PUJA DEVI,Independent,1491,14,1505,0.13,Bihar,Nalanda
29,CHANDRA KISHOR PRASAD YADAV,Independent,1177,1,1178,0.1,Bihar,Nalanda
30,NOTA,None of the Above,19110,107,19217,1.68,Bihar,Nalanda
