S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,RAVI SHANKAR PRASAD,Bharatiya Janata Party,587212,1058,588270,54.7,Bihar,Patna Sahib
2,ANSHUL AVIJIT,Indian National Congress,433818,606,434424,40.39,Bihar,Patna Sahib
3,RAKESH SHARMA,Independent,9942,1,9943,0.92,Bihar,Patna Sahib
4,NEERAJ KUMAR,Bahujan Samaj Party,5912,16,5928,0.55,Bihar,Patna Sahib
5,AWADHESH PRASAD,Independent,4973,1,4974,0.46,Bihar,Patna Sahib
6,ENG UMESH RAJAK,Peoples Party of India (Democratic),4664,8,4672,0.43,Bihar,Patna Sahib
7,SANJAY KUMAR URF SANJAY BALMIKI,Independent,4643,-,4643,0.43,Bihar,Patna Sahib
8,DHARMVIR KUMAR BHASKAR,Independent,2415,1,2416,0.22,Bihar,Patna Sahib
9,AMIT KUMAR ALBELA,Independent,2050,3,2053,0.19,Bihar,Patna Sahib
10,MAHESH KUMAR,Samata Party,2003,-,2003,0.19,Bihar,Patna Sahib
11,DHANJAY KUMAR,Rashtriya Jansambhavna Party,1969,2,1971,0.18,Bihar,Patna Sahib
12,GULAB PRASAD,Loktantrik Samajwadi Party,1923,2,1925,0.18,Bihar,Patna Sahib
13,SUMIT RANJAN SINHA,Akhand Bharat Janpriya Party,1715,1,1716,0.16,Bihar,Patna Sahib
14,MAHBOOB ALAM ANSARI,Bharatiya Momin Front,1635,3,1638,0.15,Bihar,Patna Sahib
15,DR RAKESH DUTTA MISHRA,Bharatiya Jan Kranti Dal (Democratic),1238,2,1240,0.12,Bihar,Patna Sahib
16,SAROJ KUMAR SUMAN,Socialist Unity Centre Of India (COMMUNIST),1078,-,1078,0.1,Bihar,Patna Sahib
17,SHAHID ALAM,Jantantra Awaj Party,1040,3,1043,0.1,Bihar,Patna Sahib
18,NOTA,None of the Above,5532,27,5559,0.52,Bihar,Patna Sahib
