S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5,Bihar,Purvi Champaran,3
2,DR RAJESH KUMAR,Vikassheel Insaan Party,451118,2788,453906,42.28,Bihar,Purvi Champaran,3
3,MOHAMMAD AJMER ALAM,Independent,13030,17,13047,1.22,Bihar,Purvi Champaran,3
4,VIJAY KUMAR SAHANI,Rashtriya Jansambhavna Party,8158,27,8185,0.76,Bihar,Purvi Champaran,3
5,RAJESH SINGH,Independent,7176,6,7182,0.67,Bihar,Purvi Champaran,3
6,GYANTI DEVI,Prabuddha Republican Party,6963,45,7008,0.65,Bihar,Purvi Champaran,3
7,PAWAN KUMAR,Bhartiya Sarthak Party,4895,19,4914,0.46,Bihar,Purvi Champaran,3
8,MUNESHWAR TIWARI,Independent,4017,5,4022,0.37,Bihar,Purvi Champaran,3
9,RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,3930,4,3934,0.37,Bihar,Purvi Champaran,3
10,RAJESH KUMAR S/O VISHUN SAH,Independent,3489,3,3492,0.33,Bihar,Purvi Champaran,3
11,NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,3449,15,3464,0.32,Bihar,Purvi Champaran,3
12,NIKESH KUMAR,Independent,2539,14,2553,0.24,Bihar,Purvi Champaran,3
13,NOTA,None of the Above,19729,59,19788,1.84,Bihar,Purvi Champaran,3
