S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38,Bihar,Vaishali,16
2,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73,Bihar,Vaishali,16
3,VIKKY KUMAR,Independent,34253,3,34256,2.92,Bihar,Vaishali,16
4,SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83,Bihar,Vaishali,16
5,RAJ NARAYAN YADAV,Independent,9614,2,9616,0.82,Bihar,Vaishali,16
6,PARAMHANS SINGH,Independent,5316,1,5317,0.45,Bihar,Vaishali,16
7,HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44,Bihar,Vaishali,16
8,RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35,Bihar,Vaishali,16
9,KUMAR SHISHIR,Independent,3903,4,3907,0.33,Bihar,Vaishali,16
10,MUHAMAD AVAS,Independent,3758,-,3758,0.32,Bihar,Vaishali,16
11,ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28,Bihar,Vaishali,16
12,NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),2998,11,3009,0.26,Bihar,Vaishali,16
13,VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25,Bihar,Vaishali,16
14,ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17,Bihar,Vaishali,16
15,BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12,Bihar,Vaishali,16
16,NOTA,None of the Above,27420,40,27460,2.34,Bihar,Vaishali,16
