S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,VIJAY BAGHEL,Bharatiya Janata Party,954356,2141,956497,62.0,Chhattisgarh,DURG
2,RAJENDRA SAHU,Indian National Congress,517277,994,518271,33.59,Chhattisgarh,DURG
3,DILIP RAMTEKE,Bahujan Samaj Party,13290,43,13333,0.86,Chhattisgarh,DURG
4,ANOOP KUMAR PANDEY,Independent,7765,1,7766,0.5,Chhattisgarh,DURG
5,DR. ANJU KEME,Ekam Sanatan Bharat Dal,5237,4,5241,0.34,Chhattisgarh,DURG
6,ALI HUSSAIN SIDDIQUI,Independent,5046,4,5050,0.33,Chhattisgarh,DURG
7,ARUN JOSHI,Independent,4751,2,4753,0.31,Chhattisgarh,DURG
8,DHRUV KUMAR SONI URF LANGUR SONI,Independent,3813,2,3815,0.25,Chhattisgarh,DURG
9,KHILANAND JASPAL,Independent,3280,1,3281,0.21,Chhattisgarh,DURG
10,SUKHADEV TANDON,Rashtriya Jansabha Party,2615,2,2617,0.17,Chhattisgarh,DURG
11,ASHOK JAIN,Independent,1902,-,1902,0.12,Chhattisgarh,DURG
12,BALDEV SAHU,Independent,1610,3,1613,0.1,Chhattisgarh,DURG
13,PUSHPA MAIRISHA,Ambedkarite Party of India,1556,5,1561,0.1,Chhattisgarh,DURG
14,HARICHAND THAKUR,Independent,1451,1,1452,0.09,Chhattisgarh,DURG
15,SAVITA SHAILENDRA BANJARE,Shakti Sena (Bharat Desh),1393,3,1396,0.09,Chhattisgarh,DURG
16,RAKESH SAHU,Nyaydharmsabha,1261,1,1262,0.08,Chhattisgarh,DURG
17,SHITKARAN MAHILWAR,Aazad Samaj Party (Kanshi Ram),1181,2,1183,0.08,Chhattisgarh,DURG
18,DR. HARISHCHANDRA SAHU,Independent,1116,-,1116,0.07,Chhattisgarh,DURG
19,SHANKAR THAKUR,Gondvana Gantantra Party,1064,9,1073,0.07,Chhattisgarh,DURG
20,YASHWANT SITARAM SAHU,Bhartiya Shakti Chetna Party,899,2,901,0.06,Chhattisgarh,DURG
21,SHYAM SUNDER SAHU,Loktantra Congress Party,897,2,899,0.06,Chhattisgarh,DURG
22,VIKAS SHARMA,Lokshahi Ekta Party,798,-,798,0.05,Chhattisgarh,DURG
23,SANTOSH KUMAR MARKANDE,Independent,646,4,650,0.04,Chhattisgarh,DURG
24,BHAGBALI SIVARE,Independent,388,1,389,0.03,Chhattisgarh,DURG
25,BHANUPRATAP CHATURVEDI,Independent,351,-,351,0.02,Chhattisgarh,DURG
26,NOTA,None of the Above,5596,21,5617,0.36,Chhattisgarh,DURG
