S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BHOJRAJ NAG,Bharatiya Janata Party,595185,2439,597624,47.23,Chhattisgarh,KANKER,11
2,BIRESH THAKUR,Indian National Congress,593268,2472,595740,47.08,Chhattisgarh,KANKER,11
3,TILAK RAM MARKAM,Bahujan Samaj Party,11694,76,11770,0.93,Chhattisgarh,KANKER,11
4,SONSINGH,Ambedkarite Party of India,11351,11,11362,0.9,Chhattisgarh,KANKER,11
5,JIVAN LAL MATLAM,Sarv Adi Dal,8935,14,8949,0.71,Chhattisgarh,KANKER,11
6,SUKCHAND NETAM,Gondvana Gantantra Party,8617,106,8723,0.69,Chhattisgarh,KANKER,11
7,VINOD NAGWANSHI,Hamar Raj Party,4958,51,5009,0.4,Chhattisgarh,KANKER,11
8,THAKESH MAHLA,Bhartiya Shakti Chetna Party,4201,21,4222,0.33,Chhattisgarh,KANKER,11
9,BHOJRAM MANDAVI,Rashtriya Jansabha Party,3326,35,3361,0.27,Chhattisgarh,KANKER,11
10,NOTA,None of the Above,18618,51,18669,1.48,Chhattisgarh,KANKER,11
