S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,55.63,Chhattisgarh,RAIGARH,2
2,DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,39.08,Chhattisgarh,RAIGARH,2
3,INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,1.07,Chhattisgarh,RAIGARH,2
4,ALBERT MING,Hamar Raj Party,10915,44,10959,0.75,Chhattisgarh,RAIGARH,2
5,PRAKASH KUMAR URANW,Independent,7719,3,7722,0.53,Chhattisgarh,RAIGARH,2
6,RUPNARAYAN EKKA,Independent,7410,10,7420,0.51,Chhattisgarh,RAIGARH,2
7,GOWARDHAN RATHIA,Independent,4591,2,4593,0.32,Chhattisgarh,RAIGARH,2
8,POOJA SIDAR,Independent,4159,8,4167,0.29,Chhattisgarh,RAIGARH,2
9,MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,0.21,Chhattisgarh,RAIGARH,2
10,GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,0.18,Chhattisgarh,RAIGARH,2
11,UDAY KUMAR RATHIA,Independent,2127,2,2129,0.15,Chhattisgarh,RAIGARH,2
12,ABHAY KUMAR EKKA,Independent,1808,17,1825,0.13,Chhattisgarh,RAIGARH,2
13,BADAL EKKA,Sarv Adi Dal,1714,14,1728,0.12,Chhattisgarh,RAIGARH,2
14,NOTA,None of the Above,14993,29,15022,1.03,Chhattisgarh,RAIGARH,2
