S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SANTOSH PANDEY,Bharatiya Janata Party,711439,618,712057,49.25,Chhattisgarh,RAJNANDGAON
2,BHUPESH BAGHEL,Indian National Congress,667078,568,667646,46.18,Chhattisgarh,RAJNANDGAON
3,A.H. SIDDIQUI,Independent,10737,-,10737,0.74,Chhattisgarh,RAJNANDGAON
4,DEVLAL SINHA (SONVANSHI),Bahujan Samaj Party,9659,9,9668,0.67,Chhattisgarh,RAJNANDGAON
5,NARAD PRASAD NISHAD,Shakti Sena (Bharat Desh),8029,1,8030,0.56,Chhattisgarh,RAJNANDGAON
6,SUKHDEV SINHA,Independent,7998,3,8001,0.55,Chhattisgarh,RAJNANDGAON
7,VISHESH DHAMGAYE,Independent,4872,1,4873,0.34,Chhattisgarh,RAJNANDGAON
8,BHUVAN SAHU,Independent,4171,3,4174,0.29,Chhattisgarh,RAJNANDGAON
9,LALITA KANWAR,Hamar Raj Party,2139,10,2149,0.15,Chhattisgarh,RAJNANDGAON
10,ER. BASANT KUMAR MESHRAM,Independent,1818,2,1820,0.13,Chhattisgarh,RAJNANDGAON
11,RAMESH RAJPUT,Bhartiya Shakti Chetna Party,1735,2,1737,0.12,Chhattisgarh,RAJNANDGAON
12,TRIVENI PADOTI,Independent,1607,6,1613,0.11,Chhattisgarh,RAJNANDGAON
13,RAMFAL PATIL,Nyaydharmsabha,1535,2,1537,0.11,Chhattisgarh,RAJNANDGAON
14,AJAY PALI,Independent,1114,-,1114,0.08,Chhattisgarh,RAJNANDGAON
15,LAKHAN SING TANDAN,Rashtriya Jansabha Party,1056,-,1056,0.07,Chhattisgarh,RAJNANDGAON
16,NOTA,None of the Above,9152,401,9553,0.66,Chhattisgarh,RAJNANDGAON
