S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,712172,1028,713200,49.01,Chhattisgarh,SURGUJA
2,SHASHI SINGH KORAM,Indian National Congress,647329,1049,648378,44.55,Chhattisgarh,SURGUJA
3,DR. L. S. UDAY SINGH,Gondvana Gantantra Party,15626,25,15651,1.08,Chhattisgarh,SURGUJA
4,SANJAY KUMAR,Bahujan Samaj Party,15182,17,15199,1.04,Chhattisgarh,SURGUJA
5,RAMADHAR SINGH,Independent,10857,4,10861,0.75,Chhattisgarh,SURGUJA
6,PRINCE ABHISHEK KUJUR,Independent,6803,12,6815,0.47,Chhattisgarh,SURGUJA
7,URMILA SINGH,Independent,5779,5,5784,0.4,Chhattisgarh,SURGUJA
8,ARVIND KACHHAP,Independent,4166,18,4184,0.29,Chhattisgarh,SURGUJA
9,KANTA MINJ,Akhil Bhartiya Parivar Party,4008,8,4016,0.28,Chhattisgarh,SURGUJA
10,JEROME MINJ,Bharat Adivasi Party,3035,25,3060,0.21,Chhattisgarh,SURGUJA
11,NOTA,None of the Above,28107,14,28121,1.93,Chhattisgarh,SURGUJA
