S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,605489,2668,608157,50.72,Gujarat,Bharuch,22
2,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,518419,4042,522461,43.58,Gujarat,Bharuch,22
3,DILIPBHAI CHHOTUBHAI VASAVA,Bharat Adivasi Party,9981,33,10014,0.84,Gujarat,Bharuch,22
4,SAJID YAKUB MUNSHI,Independent,9934,3,9937,0.83,Gujarat,Bharuch,22
5,VASAVA CHETANBHAI KANJIBHAI,Bahujan Samaj Party,6312,12,6324,0.53,Gujarat,Bharuch,22
6,NAVINBHAI BHIKHABHAI PATEL,Independent,3440,13,3453,0.29,Gujarat,Bharuch,22
7,YUSUF VALI HASANALI,Independent,3245,2,3247,0.27,Gujarat,Bharuch,22
8,GITABEN MANUBHAI MACHHI,Malwa Congress,2750,14,2764,0.23,Gujarat,Bharuch,22
9,MITESHBHAI THAKORBHAI PADHIYAR,Independent,2451,8,2459,0.21,Gujarat,Bharuch,22
10,MIRZA AABIDBEG YASINBEG,Independent,2043,7,2050,0.17,Gujarat,Bharuch,22
11,ISMAIL AHMAD PATEL,Independent,1887,15,1902,0.16,Gujarat,Bharuch,22
12,NARAYANBHAI LILADHARJI RAVAL,Independent,1574,9,1583,0.13,Gujarat,Bharuch,22
13,DHARMESHKUMAR VISHNUBHAI VASAVA,Independent,1324,6,1330,0.11,Gujarat,Bharuch,22
14,NOTA,None of the Above,23151,132,23283,1.94,Gujarat,Bharuch,22
