S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,618120,1929,620049,58.98,Gujarat,Jamnagar,12
2,ADVOCATE J. P. MARAVIYA,Indian National Congress,380949,1092,382041,36.34,Gujarat,Jamnagar,12
3,JAYSUKH NATHUBHAI PINGALSUR,Bahujan Samaj Party,11429,33,11462,1.09,Gujarat,Jamnagar,12
4,KANZARIYA RANCHHODBHAI NARANBHAI,Viro Ke Vir Indian Party,6973,29,7002,0.67,Gujarat,Jamnagar,12
5,VIJAYSINH PRAVINSINH JADEJA,Independent,4817,17,4834,0.46,Gujarat,Jamnagar,12
6,RATHOD PUNJABHAI PALABHAI,Independent,3727,5,3732,0.36,Gujarat,Jamnagar,12
7,BHURALAL MEGHJIBHAI PARMAR,Independent,1923,5,1928,0.18,Gujarat,Jamnagar,12
8,GHUGHA ALARAKHABHAI ISHAKBHAI,Independent,1582,3,1585,0.15,Gujarat,Jamnagar,12
9,KHIRA YUSUF SIDIKBHAI,Independent,1368,3,1371,0.13,Gujarat,Jamnagar,12
10,NANJI AMARSHI BATHWAR,Independent,1365,5,1370,0.13,Gujarat,Jamnagar,12
11,ANWAR NOORMAMAD SANGHAR,Independent,1299,-,1299,0.12,Gujarat,Jamnagar,12
12,PARESHBHAI PARSOTTAMBHAI MUNGARA,Rashtriya Mahaswaraj Bhumi Party,1266,4,1270,0.12,Gujarat,Jamnagar,12
13,POPATPUTRA RAFIK ABUBAKAR,Independent,1133,5,1138,0.11,Gujarat,Jamnagar,12
14,NADEEM MAHAMMAD HALA,Independent,1069,1,1070,0.1,Gujarat,Jamnagar,12
15,NOTA,None of the Above,10972,112,11084,1.05,Gujarat,Jamnagar,12
