S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,DEVUSINH CHAUHAN,Bharatiya Janata Party,738609,5826,744435,63.31,Gujarat,Kheda,17
2,KALUSINH DABHI,Indian National Congress,381656,5021,386677,32.88,Gujarat,Kheda,17
3,SODHA SANJAYKUMAR PARVATSINH,Independent,6123,16,6139,0.52,Gujarat,Kheda,17
4,BHAILALBHAI KALUBHAI PANDAV,Bahujan Samaj Party,6055,97,6152,0.52,Gujarat,Kheda,17
5,PARMAR HITESHKUMAR PARSOTTAMBHAI,Independent,2730,11,2741,0.23,Gujarat,Kheda,17
6,UPENDRAKUMAR VALLAVBHAI PATEL,Independent,2703,12,2715,0.23,Gujarat,Kheda,17
7,PATEL ANILKUMAR BHAILALBHAI,Rashtriya Mahaswaraj Bhumi Party,2493,30,2523,0.21,Gujarat,Kheda,17
8,SAIYAD KADARI MOHAMMAD SABIR ANVAR HUSAIN,Bhartiya Jan Nayak Party,1812,26,1838,0.16,Gujarat,Kheda,17
9,INDIRADEVI HIRALAL VORA,Garib Kalyan Party,1126,9,1135,0.1,Gujarat,Kheda,17
10,KAMLESHBHAI POPATBHAI PATEL,Bhartiya Jan Parishad,933,16,949,0.08,Gujarat,Kheda,17
11,IMRANBHAI VANKAWALA,Right to Recall Party,924,4,928,0.08,Gujarat,Kheda,17
12,KANTIYA DASRATH HARJIVANBHAI,New India United Party,789,3,792,0.07,Gujarat,Kheda,17
13,NOTA,None of the Above,18444,380,18824,1.6,Gujarat,Kheda,17
