S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,670929,6389,677318,53.36,Gujarat,Sabarkantha
2,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,515902,5734,521636,41.09,Gujarat,Sabarkantha
3,PARMAR RAMESHCHANDRA NANJIBHAI,Bahujan Samaj Party,9850,117,9967,0.79,Gujarat,Sabarkantha
4,SOLANKI CHHAGANBHAI KEVLABHAI,Independent,7539,12,7551,0.59,Gujarat,Sabarkantha
5,VIJAYSINH NAVALSINH CHAUHAN,Independent,6692,29,6721,0.53,Gujarat,Sabarkantha
6,BHAVNABA NARENDRASINH PARMAR,Independent,5365,94,5459,0.43,Gujarat,Sabarkantha
7,ANILKUMAR NIRANJANKUMAR MUNDADA,Log Party,5225,22,5247,0.41,Gujarat,Sabarkantha
8,MUSTAKBHAI JAMALBHAI SANGHANI,Independent,3196,7,3203,0.25,Gujarat,Sabarkantha
9,KATARA VARUNKUMAR KALYANSINH,Gunj Satya Ni Janata Party,2717,56,2773,0.22,Gujarat,Sabarkantha
10,RAKESHSINH MAHOBATSINH ZALA,Bhartiya Jan Parishad,1882,69,1951,0.15,Gujarat,Sabarkantha
11,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,1782,45,1827,0.14,Gujarat,Sabarkantha
12,ASHOK L VAGHELA,Independent,1673,15,1688,0.13,Gujarat,Sabarkantha
13,KANUBHAI KHIMJIBHAI GADHAVI,Independent,1467,38,1505,0.12,Gujarat,Sabarkantha
14,THAKOR INDIRABEN JITENDRASINH,Insaniyat Party,1402,34,1436,0.11,Gujarat,Sabarkantha
15,NOTA,None of the Above,20665,411,21076,1.66,Gujarat,Sabarkantha
