S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,DHARAMBIR SINGH,Bharatiya Janata Party,582735,5929,588664,49.74,Haryana,BHIWANI-MAHENDRAGARH,8
2,RAO DAN SINGH,Indian National Congress,541926,5228,547154,46.24,Haryana,BHIWANI-MAHENDRAGARH,8
3,BAHADUR SINGH,Jannayak Janta Party,15076,189,15265,1.29,Haryana,BHIWANI-MAHENDRAGARH,8
4,SUNIL KUMAR SHARMA,Bahujan Samaj Party,6239,97,6336,0.54,Haryana,BHIWANI-MAHENDRAGARH,8
5,SUBHASH,Rashtrawadi Janlok Party (Satya),4663,32,4695,0.4,Haryana,BHIWANI-MAHENDRAGARH,8
6,HEMANT,Independent,3876,5,3881,0.33,Haryana,BHIWANI-MAHENDRAGARH,8
7,SEEMA,Independent,2961,18,2979,0.25,Haryana,BHIWANI-MAHENDRAGARH,8
8,VED PRAKASH,Independent,1897,3,1900,0.16,Haryana,BHIWANI-MAHENDRAGARH,8
9,ANAND KUMAR,Bharatheeya Jawan Kisan Party,1642,26,1668,0.14,Haryana,BHIWANI-MAHENDRAGARH,8
10,YOGBIR SINGH,Independent,1473,5,1478,0.12,Haryana,BHIWANI-MAHENDRAGARH,8
11,VARSHA,Independent,993,60,1053,0.09,Haryana,BHIWANI-MAHENDRAGARH,8
12,BALWAN,Peoples Party of India (Democratic),854,3,857,0.07,Haryana,BHIWANI-MAHENDRAGARH,8
13,ROHTASH,Socialist Unity Centre Of India (COMMUNIST),637,3,640,0.05,Haryana,BHIWANI-MAHENDRAGARH,8
14,JAI SINGH,Independent,442,9,451,0.04,Haryana,BHIWANI-MAHENDRAGARH,8
15,BHARAT BHUSHAN,Bhartiya Shakti Chetna Party,440,3,443,0.04,Haryana,BHIWANI-MAHENDRAGARH,8
16,ENGINEER MAHAVIR SINGH YADAV,Independent,406,9,415,0.04,Haryana,BHIWANI-MAHENDRAGARH,8
17,JAGDISH,Independent,219,10,229,0.02,Haryana,BHIWANI-MAHENDRAGARH,8
18,NOTA,None of the Above,5188,99,5287,0.45,Haryana,BHIWANI-MAHENDRAGARH,8
