S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,567194,3230,570424,48.58,Haryana,HISAR
2,RANJIT SINGH,Bharatiya Janata Party,504944,2099,507043,43.19,Haryana,HISAR
3,DESH RAJ,Bahujan Samaj Party,25892,123,26015,2.22,Haryana,HISAR
4,SUNAINA CHAUTALA,Indian National Lok Dal,22171,132,22303,1.9,Haryana,HISAR
5,NAINA SINGH CHAUTALA,Jannayak Janta Party,21910,122,22032,1.88,Haryana,HISAR
6,PARDEEP DAHIYA,Independent,3607,1,3608,0.31,Haryana,HISAR
7,JAI PRAKASH (J.P.) S/O UMA DUTT,Independent,3267,6,3273,0.28,Haryana,HISAR
8,JILE SINGH,Independent,3196,-,3196,0.27,Haryana,HISAR
9,POONAM MOR,Independent,1237,4,1241,0.11,Haryana,HISAR
10,ISHWAR JHAJHRIA,Independent,1121,1,1122,0.1,Haryana,HISAR
11,ATMA RAM BISHNOI,Independent,1091,6,1097,0.09,Haryana,HISAR
12,KULBIR,Independent,1041,-,1041,0.09,Haryana,HISAR
13,CHANDER MOHAN,Independent,995,3,998,0.09,Haryana,HISAR
14,ADVOCATE PARDEEP SIHMAR,Peoples Party of India (Democratic),871,5,876,0.07,Haryana,HISAR
15,AJIT SINGH,Independent,794,2,796,0.07,Haryana,HISAR
16,DEV GIRI,Rashtriya Lokswaraj Party,719,7,726,0.06,Haryana,HISAR
17,DINESH KUMAR,Independent,699,4,703,0.06,Haryana,HISAR
18,MASTER VIJENDER JITPURA,Socialist Unity Centre Of India (COMMUNIST),654,3,657,0.06,Haryana,HISAR
19,RAJENDER KUMAR,Independent,485,1,486,0.04,Haryana,HISAR
20,NEERAJ KUMAR “CHHATTAR”,Bharatiya Asha Party,419,4,423,0.04,Haryana,HISAR
21,MANDEEP,Independent,404,1,405,0.03,Haryana,HISAR
22,JAGAT SINGH,Vikas India Party,374,8,382,0.03,Haryana,HISAR
23,PARJAPATI RAKESH DHUWARIA,Independent,372,2,374,0.03,Haryana,HISAR
24,RANDHIR SINGH,Independent,352,1,353,0.03,Haryana,HISAR
25,SURENDER KUMAR,Independent,326,-,326,0.03,Haryana,HISAR
26,SURENDER,Independent,308,-,308,0.03,Haryana,HISAR
27,VIJAY SINGH,Independent,270,2,272,0.02,Haryana,HISAR
28,YOGESH BOORA,Independent,267,2,269,0.02,Haryana,HISAR
29,NOTA,None of the Above,3333,33,3366,0.29,Haryana,HISAR
