S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KALI CHARAN SINGH,Bharatiya Janata Party,568912,5644,574556,52.89,Jharkhand,Chatra
2,KRISHNA NAND TRIPATHI,Indian National Congress,348110,5487,353597,32.55,Jharkhand,Chatra
3,AMIT KUMAR SINGH,Independent,31976,15,31991,2.94,Jharkhand,Chatra
4,ARJUN KUMAR,Communist Party of India,14062,60,14122,1.3,Jharkhand,Chatra
5,DR. ABHISHEK KUMAR SINGH,Independent,14038,68,14106,1.3,Jharkhand,Chatra
6,ARJUN PRAJAPATI,Independent,13320,8,13328,1.23,Jharkhand,Chatra
7,DEEPAK KUMAR GUPTA,Independent,12384,182,12566,1.16,Jharkhand,Chatra
8,NAGMANI,Bahujan Samaj Party,11798,152,11950,1.1,Jharkhand,Chatra
9,CHANDAN KUMAR,Independent,6569,13,6582,0.61,Jharkhand,Chatra
10,MD ABUZAR KHAN,Independent,5820,3,5823,0.54,Jharkhand,Chatra
11,YOGESH KUMAR SINGH,Independent,5110,2,5112,0.47,Jharkhand,Chatra
12,BIMAL LAKRA,Ambedkarite Party of India,4983,31,5014,0.46,Jharkhand,Chatra
13,KARMLAL ORAON,Peoples Party of India (Democratic),3968,42,4010,0.37,Jharkhand,Chatra
14,SUMIT KUMAR YADAV,Samata Party,3499,17,3516,0.32,Jharkhand,Chatra
15,SANJAY KUMAR SNEHI,Lokhit Adhikar Party,3202,14,3216,0.3,Jharkhand,Chatra
16,MAHESH BANDO,Bahujan Mukti Party,3159,42,3201,0.29,Jharkhand,Chatra
17,SRIRAM SINGH,Independent,2991,2,2993,0.28,Jharkhand,Chatra
18,DARSHAN GANJHU,Jharkhand Party,2780,37,2817,0.26,Jharkhand,Chatra
19,DULESHWAR SAW,Bharatheeya Jawan Kisan Party,2376,9,2385,0.22,Jharkhand,Chatra
20,LAW KUMAR PANDIT,Bhagidari Party(P),2372,8,2380,0.22,Jharkhand,Chatra
21,KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,2297,12,2309,0.21,Jharkhand,Chatra
22,VIKRANT KUMAR SINGH,Independent,2288,1,2289,0.21,Jharkhand,Chatra
23,NOTA,None of the Above,8435,76,8511,0.78,Jharkhand,Chatra
