S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,SANJAY SETH,Bharatiya Janata Party,658975,5757,664732,45.91,Jharkhand,Ranchi,8
2,YASHASWINI SAHAY,Indian National Congress,537646,6574,544220,37.59,Jharkhand,Ranchi,8
3,DEVENDRA NATH MAHTO,Independent,130526,2121,132647,9.16,Jharkhand,Ranchi,8
4,SOMA SINGH,Jai Maha Bharath Party,10340,1,10341,0.71,Jharkhand,Ranchi,8
5,NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7793,10,7803,0.54,Jharkhand,Ranchi,8
6,DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6784,15,6799,0.47,Jharkhand,Ranchi,8
7,SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),6524,6,6530,0.45,Jharkhand,Ranchi,8
8,MANOJ KUMAR,Bahujan Samaj Party,6383,44,6427,0.44,Jharkhand,Ranchi,8
9,RAMHARI GOPE,Ambedkarite Party of India,6304,5,6309,0.44,Jharkhand,Ranchi,8
10,ANJANI PANDEY,Independent,5386,11,5397,0.37,Jharkhand,Ranchi,8
11,SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4794,8,4802,0.33,Jharkhand,Ranchi,8
12,HARINATH SAHU,Lokhit Adhikar Party,4120,16,4136,0.29,Jharkhand,Ranchi,8
13,HEMNTI DEVI,Samata Party,4069,11,4080,0.28,Jharkhand,Ranchi,8
14,RANJANA GIRI,Republican Party of India (A),3206,2,3208,0.22,Jharkhand,Ranchi,8
15,BIRENDRA NATH MANJHI,Abua Jharkhand Party,3130,25,3155,0.22,Jharkhand,Ranchi,8
16,DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3072,22,3094,0.21,Jharkhand,Ranchi,8
17,PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2870,74,2944,0.2,Jharkhand,Ranchi,8
18,PRABEEN CHANDRA MAHATO,Independent,2852,7,2859,0.2,Jharkhand,Ranchi,8
19,SANTOSH KUMAR JAISWAL,Independent,2782,5,2787,0.19,Jharkhand,Ranchi,8
20,PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2756,7,2763,0.19,Jharkhand,Ranchi,8
21,MANORANJAN BHATTACHARYA,Independent,2537,2,2539,0.18,Jharkhand,Ranchi,8
22,AINUL ANSARI,Independent,2533,4,2537,0.18,Jharkhand,Ranchi,8
23,BINOD ORAON,Bahujan Mukti Party,2523,66,2589,0.18,Jharkhand,Ranchi,8
24,MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2151,13,2164,0.15,Jharkhand,Ranchi,8
25,KOLESHWAR MAHTO,Independent,1702,6,1708,0.12,Jharkhand,Ranchi,8
26,KAMESHWAR PRASAD SAW,Independent,1644,2,1646,0.11,Jharkhand,Ranchi,8
27,ARSHAD AYUB,Independent,1411,1,1412,0.1,Jharkhand,Ranchi,8
28,NOTA,None of the Above,8046,107,8153,0.56,Jharkhand,Ranchi,8
