S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,JAGADISH SHETTAR,Bharatiya Janata Party,756471,5558,762029,55.06,Karnataka,Belgaum
2,MRINAL R HEBBALKAR,Indian National Congress,580897,2695,583592,42.17,Karnataka,Belgaum
3,MAHADEV PATIL,Independent,9425,78,9503,0.69,Karnataka,Belgaum
4,BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,5406,35,5441,0.39,Karnataka,Belgaum
5,ASHOK APPAYA APPUGOL,Bahujan Samaj Party,4350,57,4407,0.32,Karnataka,Belgaum
6,RAVI SHIVAPPA PADASALAGI,Independent,3911,15,3926,0.28,Karnataka,Belgaum
7,VIJAY S METHRANI,Independent,2804,4,2808,0.2,Karnataka,Belgaum
8,PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party,1413,20,1433,0.1,Karnataka,Belgaum
9,LAXMAN JADAGANNAVAR,Socialist Unity Centre Of India (COMMUNIST),1287,15,1302,0.09,Karnataka,Belgaum
10,NITIN ASHOK MHADAGUT,Independent,1286,24,1310,0.09,Karnataka,Belgaum
11,PUNDALIK ITNAL,Independent,1062,37,1099,0.08,Karnataka,Belgaum
12,ASHOK P HANAJI,Independent,668,11,679,0.05,Karnataka,Belgaum
13,ASHPAKAHMAD USTAD,Independent,622,12,634,0.05,Karnataka,Belgaum
14,NOTA,None of the Above,5683,43,5726,0.41,Karnataka,Belgaum
