S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,760130,4002,764132,53.97,Karnataka,Dakshina Kannada,17
2,PADMARAJ.R.POOJARY,Indian National Congress,612103,2821,614924,43.43,Karnataka,Dakshina Kannada,17
3,KANTHAPPA ALANGAR,Bahujan Samaj Party,4202,30,4232,0.3,Karnataka,Dakshina Kannada,17
4,DURGA PRASAD,Karunada Sevakara Party,2578,14,2592,0.18,Karnataka,Dakshina Kannada,17
5,SUPREETH KUMAR POOJARY  KATEEL,Independent,1884,17,1901,0.13,Karnataka,Dakshina Kannada,17
6,MAXIM PINTO,Independent,1654,36,1690,0.12,Karnataka,Dakshina Kannada,17
7,PRAJAAKEEYA MANOHARA,Uttama Prajaakeeya Party,964,7,971,0.07,Karnataka,Dakshina Kannada,17
8,DEEPAK RAJESH COELHO,Independent,950,26,976,0.07,Karnataka,Dakshina Kannada,17
9,RANJINI. M,Karnataka Rashtra Samithi,758,18,776,0.05,Karnataka,Dakshina Kannada,17
10,NOTA,None of the Above,23515,61,23576,1.67,Karnataka,Dakshina Kannada,17
