S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,661921,1590,663511,49.93,Karnataka,Koppal,8
2,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,614866,2288,617154,46.44,Karnataka,Koppal,8
3,MALLIKARJUN HADAPAD,Independent,7310,4,7314,0.55,Karnataka,Koppal,8
4,SHANKARA,Bahujan Samaj Party,7031,12,7043,0.53,Karnataka,Koppal,8
5,KARADI BASAVARAJ,Independent,5868,9,5877,0.44,Karnataka,Koppal,8
6,RUKMINI,Independent,5279,3,5282,0.4,Karnataka,Koppal,8
7,SURESH. GOUDA MUNDINAMANE,Independent,4641,1,4642,0.35,Karnataka,Koppal,8
8,NAGARAJ KALAL,Independent,1992,2,1994,0.15,Karnataka,Koppal,8
9,KALAPPA YACHRAPPA BADIGER VISHWAKARMA,Independent,1967,15,1982,0.15,Karnataka,Koppal,8
10,PA.YA. GANESH,Independent,1892,3,1895,0.14,Karnataka,Koppal,8
11,HANAMESH . S . H. SHAKHAPUR,Independent,1247,1,1248,0.09,Karnataka,Koppal,8
12,KAREEMPASHA GACHCHINMANI.,Independent,1233,5,1238,0.09,Karnataka,Koppal,8
13,ANNOJI RAO. G,Sarva Janata Party,1113,4,1117,0.08,Karnataka,Koppal,8
14,SHARANAPPA,Socialist Unity Centre Of India (COMMUNIST),1097,9,1106,0.08,Karnataka,Koppal,8
15,NIRUPADI K GOMARSI,Karnataka Rashtra Samithi,891,9,900,0.07,Karnataka,Koppal,8
16,RAMZANBEE,All India Ulama Congress,800,6,806,0.06,Karnataka,Koppal,8
17,D DURGA PRASAD BYATARAYANAJI,Challengers Party,798,1,799,0.06,Karnataka,Koppal,8
18,C. SHARANA BASAPPA,Republican Party of India (Karnataka),770,6,776,0.06,Karnataka,Koppal,8
19,IMAMSAB JANGLISAB MULLA,Independent,728,5,733,0.06,Karnataka,Koppal,8
20,NOTA,None of the Above,3496,23,3519,0.26,Karnataka,Koppal,8
