S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,777887,4608,782495,61.97,Karnataka,Uttara Kannada,12
2,DR. ANJALI NIMBALKAR,Indian National Congress,443296,1771,445067,35.25,Karnataka,Uttara Kannada,12
3,RAJSHEKHAR. SHANKAR. HINDALAGI.,Independent,5384,13,5397,0.43,Karnataka,Uttara Kannada,12
4,GANAPATI HEGDE,Socialist Unity Centre Of India (COMMUNIST),4427,45,4472,0.35,Karnataka,Uttara Kannada,12
5,NIRANJAN UDAYSINH SIRDESAI,Independent,4116,53,4169,0.33,Karnataka,Uttara Kannada,12
6,NAGARAJ. ANANT. SHIRALI.,Independent,2860,22,2882,0.23,Karnataka,Uttara Kannada,12
7,CHIDANAND  HANUMANTHAPPA HARIJAN,Independent,1707,14,1721,0.14,Karnataka,Uttara Kannada,12
8,PRAJAAKEEYA SUNIL,Uttama Prajaakeeya Party,1523,43,1566,0.12,Karnataka,Uttara Kannada,12
9,VINAYAK NAIK,Karnataka Rashtra Samithi,1230,33,1263,0.1,Karnataka,Uttara Kannada,12
10,K. P. PATIL,Independent,901,55,956,0.08,Karnataka,Uttara Kannada,12
11,KRISHNA BALEGAR,Independent,897,23,920,0.07,Karnataka,Uttara Kannada,12
12,ARAVIND GOWDA,Independent,872,32,904,0.07,Karnataka,Uttara Kannada,12
13,AVINASH. NARAYAN. PATIL.,Independent,761,12,773,0.06,Karnataka,Uttara Kannada,12
14,NOTA,None of the Above,10151,25,10176,0.81,Karnataka,Uttara Kannada,12
