S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha
2,A. M ARIFF,Communist Party of India  (Marxist),335596,5451,341047,32.21,Kerala,Alappuzha
3,SOBHA SURENDRAN,Bharatiya Janata Party,295841,3807,299648,28.3,Kerala,Alappuzha
4,MURALEEDHARAN KONCHERILLAM,Bahujan Samaj Party,1578,48,1626,0.15,Kerala,Alappuzha
5,ARJUNAN,Socialist Unity Centre Of India (COMMUNIST),1301,18,1319,0.12,Kerala,Alappuzha
6,VAYALAR RAJEEVAN,Bahujan Dravida Party,674,1,675,0.06,Kerala,Alappuzha
7,ADV.K.M SHAJAHAN,Independent,627,55,682,0.06,Kerala,Alappuzha
8,SHAJAHAN V.A.     S/O ABDUL AZEES,Independent,553,23,576,0.05,Kerala,Alappuzha
9,SATHEESH SHENOI,Independent,473,9,482,0.05,Kerala,Alappuzha
10,JAYAKRISHNAN P,Independent,329,56,385,0.04,Kerala,Alappuzha
11,JYOTHI ABRAHAM,Independent,328,10,338,0.03,Kerala,Alappuzha
12,NOTA,None of the Above,7252,113,7365,0.7,Kerala,Alappuzha
