S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam,18
2,M MUKESH,Communist Party of India  (Marxist),288861,4465,293326,32.03,Kerala,Kollam,18
3,KRISHNAKUMAR G,Bharatiya Janata Party,160956,2254,163210,17.82,Kerala,Kollam,18
4,VIPINLAL VIDHYADHARAN,Bahujan Samaj Party,2163,31,2194,0.24,Kerala,Kollam,18
5,PREMACHANDRAN NAIR,Independent,1713,21,1734,0.19,Kerala,Kollam,18
6,GOKULAM SURESH KUMAR,Independent,1369,5,1374,0.15,Kerala,Kollam,18
7,PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party,793,42,835,0.09,Kerala,Kollam,18
8,TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST),689,19,708,0.08,Kerala,Kollam,18
9,JOSE SARANATH,Ambedkarite Party of India,553,6,559,0.06,Kerala,Kollam,18
10,BRO NOUSHAD  SHERIFF J,Independent,545,34,579,0.06,Kerala,Kollam,18
11,P KRISHNAMMAL,Marxist Communist Party of India (United),537,12,549,0.06,Kerala,Kollam,18
12,N JAYARAJAN,Independent,407,42,449,0.05,Kerala,Kollam,18
13,NOTA,None of the Above,6437,109,6546,0.71,Kerala,Kollam,18
