S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,SHANKAR LALWANI,Bharatiya Janata Party,1223746,3005,1226751,78.54,Madhya Pradesh,INDORE,26
2,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,51486,173,51659,3.31,Madhya Pradesh,INDORE,26
3,PAWAN KUMAR,Akhil Bhartiya Parivar Party,15182,28,15210,0.97,Madhya Pradesh,INDORE,26
4,ABHAY JAIN,Independent,8379,13,8392,0.54,Madhya Pradesh,INDORE,26
5,LAVISH DILIP KHANDELWAL,Independent,8231,7,8238,0.53,Madhya Pradesh,INDORE,26
6,COMRADE AJEET SINGH,Socialist Unity Centre Of India (COMMUNIST),7148,31,7179,0.46,Madhya Pradesh,INDORE,26
7,AYAZ ALI,Independent,7074,22,7096,0.45,Madhya Pradesh,INDORE,26
8,ENG. ARJUN PARIHAR,Independent,3823,8,3831,0.25,Madhya Pradesh,INDORE,26
9,BASANT GEHLOT,Jan Sangh Party,3663,13,3676,0.24,Madhya Pradesh,INDORE,26
10,RAVI SIRWAIYA,Independent,2615,6,2621,0.17,Madhya Pradesh,INDORE,26
11,MUDIT CHAURASIA,Independent,2601,8,2609,0.17,Madhya Pradesh,INDORE,26
12,PARMANAND TOLANI,Independent,2399,4,2403,0.15,Madhya Pradesh,INDORE,26
13,DESH BHAKT ANKIT GUPTA,Independent,1957,12,1969,0.13,Madhya Pradesh,INDORE,26
14,ADVOCATE PANKAJ GUPTE,Independent,1652,8,1660,0.11,Madhya Pradesh,INDORE,26
15,NOTA,None of the Above,218355,319,218674,14.0,Madhya Pradesh,INDORE,26
