S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,GYANESHWAR PATIL,Bharatiya Janata Party,861188,1491,862679,57.04,Madhya Pradesh,KHANDWA
2,NARENDRA PATEL,Indian National Congress,591540,1168,592708,39.19,Madhya Pradesh,KHANDWA
3,MUNNALAL S/O DHANNALAL TEJI,Bahujan Samaj Party,11796,22,11818,0.78,Madhya Pradesh,KHANDWA
4,ABHINESH SINGH,Rashtriya Jan Awaz Party,9295,4,9299,0.61,Madhya Pradesh,KHANDWA
5,LAXMI NARAYAN KATARE,Independent,4902,3,4905,0.32,Madhya Pradesh,KHANDWA
6,MANOJ KUMAR VISHWAMBHARNATH AGRAWAL,Independent,4346,1,4347,0.29,Madhya Pradesh,KHANDWA
7,MAHESH PAWAR,Peoples Party of India (Democratic),3701,8,3709,0.25,Madhya Pradesh,KHANDWA
8,SHIVAM SEN,Independent,3479,2,3481,0.23,Madhya Pradesh,KHANDWA
9,RAVINDRA SONVANE,Independent,2679,6,2685,0.18,Madhya Pradesh,KHANDWA
10,PRAKASH RATHOR BANJARA,Aam Janta Party (India),2368,2,2370,0.16,Madhya Pradesh,KHANDWA
11,NARAYAN SUKHADEV PAL,Bharatiya Yuva Jan Ekta Party,1699,3,1702,0.11,Madhya Pradesh,KHANDWA
12,NOTA,None of the Above,12817,22,12839,0.85,Madhya Pradesh,KHANDWA
