S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,FAGGAN SINGH KULASTE,Bharatiya Janata Party,749761,1614,751375,48.93,Madhya Pradesh,MANDLA,14
2,OMKAR SINGH MARKAM,Indian National Congress,645759,1770,647529,42.17,Madhya Pradesh,MANDLA,14
3,MAHESH KUMAR WATTEE,Gondvana Gantantra Party,37686,111,37797,2.46,Madhya Pradesh,MANDLA,14
4,INDAR SINGH UIKEY,Bahujan Samaj Party,16587,30,16617,1.08,Madhya Pradesh,MANDLA,14
5,CHANDRA SINGH KUSHRAM,Bhartiya Shakti Chetna Party,15533,25,15558,1.01,Madhya Pradesh,MANDLA,14
6,SITAR MARKAM,Independent,10365,10,10375,0.68,Madhya Pradesh,MANDLA,14
7,RAKESH SINGH THAKUR,Independent,10340,6,10346,0.67,Madhya Pradesh,MANDLA,14
8,DR. BHAW SINGH TEKAM,Independent,6393,8,6401,0.42,Madhya Pradesh,MANDLA,14
9,CHARAN SINGH DHURWEY,Bharat Adivasi Party,4269,18,4287,0.28,Madhya Pradesh,MANDLA,14
10,ADVOCATE-DEV SINGH KUMRE,Independent,4205,12,4217,0.27,Madhya Pradesh,MANDLA,14
11,GHUR SINGH SALLAM,Independent,3959,12,3971,0.26,Madhya Pradesh,MANDLA,14
12,KALIYA BAI KAKODIA,Independent,2990,11,3001,0.2,Madhya Pradesh,MANDLA,14
13,ASHOK SARAIYA,Independent,2717,10,2727,0.18,Madhya Pradesh,MANDLA,14
14,RAMKUMAR INWATI [ADVOCATE],Smart Indians Party,2499,11,2510,0.16,Madhya Pradesh,MANDLA,14
15,NOTA,None of the Above,18887,34,18921,1.23,Madhya Pradesh,MANDLA,14
