S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,DR. RAJESH MISHRA,Bharatiya Janata Party,582664,895,583559,50.87,Madhya Pradesh,SIDHI
2,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,376336,807,377143,32.87,Madhya Pradesh,SIDHI
3,AJAY PRATAP SINGH,Gondvana Gantantra Party,50897,65,50962,4.44,Madhya Pradesh,SIDHI
4,PUJAN RAM SAKET (BABBU),Bahujan Samaj Party,33617,39,33656,2.93,Madhya Pradesh,SIDHI
5,LAXMAN SINGH BAIS,Independent,30634,28,30662,2.67,Madhya Pradesh,SIDHI
6,SANJAY NAMDEO,Communist Party of India,20284,6,20290,1.77,Madhya Pradesh,SIDHI
7,BHAGWAN PRASAD TIWARI,Independent,7330,1,7331,0.64,Madhya Pradesh,SIDHI
8,SUNIL TIWARI,Independent,5694,5,5699,0.5,Madhya Pradesh,SIDHI
9,SHYAMLAL VAISH,Bhartiya Shakti Chetna Party,5340,3,5343,0.47,Madhya Pradesh,SIDHI
10,KAILASH PRASAD VERMA,Independent,5289,2,5291,0.46,Madhya Pradesh,SIDHI
11,MAHENDRA BHAIYA,Independent,4658,-,4658,0.41,Madhya Pradesh,SIDHI
12,DASHRATH PRASAD BAIS,Independent,4131,-,4131,0.36,Madhya Pradesh,SIDHI
13,"NARAYAN DAS SHAH ""MULNIWASI""",Peoples Party of India (Democratic),3791,1,3792,0.33,Madhya Pradesh,SIDHI
14,DADDI YADAV,Independent,3301,4,3305,0.29,Madhya Pradesh,SIDHI
15,SMT. TARA DEVI SINGH,Rashtriya Jansanchar Dal,2701,6,2707,0.24,Madhya Pradesh,SIDHI
16,RAMSAHAY SAHU,Aapka Gantantra Party,2430,2,2432,0.21,Madhya Pradesh,SIDHI
17,RAMVISHAL KOL,Rashtriya Samaj Paksha,2079,8,2087,0.18,Madhya Pradesh,SIDHI
18,NOTA,None of the Above,4212,4,4216,0.37,Madhya Pradesh,SIDHI
