S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,DR. KIRSAN  NAMDEO,Indian National Congress,614610,3182,617792,52.97,Maharashtra,Gadchiroli
2,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,474376,1720,476096,40.82,Maharashtra,Gadchiroli
3,GONNADE  YOGESH  NAMDEORAO,Bahujan Samaj Party,18930,125,19055,1.63,Maharashtra,Gadchiroli
4,HITESH PANDURANG MADAVI,Vanchit Bahujan  Aaghadi,15824,98,15922,1.37,Maharashtra,Gadchiroli
5,VINOD GURUDAS MADAVI,Independent,6107,19,6126,0.53,Maharashtra,Gadchiroli
6,KODAPE VILAS SHAMARAO,Independent,4396,6,4402,0.38,Maharashtra,Gadchiroli
7,SUHAS UMESH KUMRE,Bhim Sena,2851,21,2872,0.25,Maharashtra,Gadchiroli
8,KARAN SURESH SAYAM,Independent,2772,17,2789,0.24,Maharashtra,Gadchiroli
9,BARIKRAO DHARMAJI MADAVI,Bahujan Republican  Socialist Party,2527,28,2555,0.22,Maharashtra,Gadchiroli
10,DHIRAJ PURUSHOTTAM SHEDMAKE,Janseva Gondwana Party,2141,33,2174,0.19,Maharashtra,Gadchiroli
11,NOTA,None of the Above,16507,70,16577,1.42,Maharashtra,Gadchiroli
