S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,750323,4199,754522,54.15,Maharashtra,Kolhapur,47
2,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,597014,2544,599558,43.03,Maharashtra,Kolhapur,47
3,SANJAY BHIKAJI MAGADE,Bahujan Samaj Party,3946,56,4002,0.29,Maharashtra,Kolhapur,47
4,MUSHTAK AJIJ MULLA,Independent,3822,2,3824,0.27,Maharashtra,Kolhapur,47
5,MADHURI RAJU JADHAV,Independent,3503,5,3508,0.25,Maharashtra,Kolhapur,47
6,KHADE BAJIRAO NANASO,Independent,3497,15,3512,0.25,Maharashtra,Kolhapur,47
7,KRUSHNABAI DIPAK CHOUGALE,Independent,3045,18,3063,0.22,Maharashtra,Kolhapur,47
8,KOGALE SANDEEP BHAIRAVNATH,Desh Janhit Party,2952,23,2975,0.21,Maharashtra,Kolhapur,47
9,ADV. YASH SUHAS HEGDEPATIL,Independent,2457,2,2459,0.18,Maharashtra,Kolhapur,47
10,NAGNATH PUNDALIK BENAKE,Independent,1215,12,1227,0.09,Maharashtra,Kolhapur,47
11,RAJANDARA BALASO KOLI,Independent,1029,15,1044,0.07,Maharashtra,Kolhapur,47
12,B. T. PATIL (EX SERVICEMAN),Bharatheeya Jawan Kisan Party,1011,96,1107,0.08,Maharashtra,Kolhapur,47
13,SUBHASH VAIJU DESAI,Independent,847,2,849,0.06,Maharashtra,Kolhapur,47
14,MANGESH JAYSINGH PATIL,Independent,647,6,653,0.05,Maharashtra,Kolhapur,47
15,SHASHIBHUSHAN JEEVANRAO DESAI,Akhil Bharat Hindu Mahasabha,636,15,651,0.05,Maharashtra,Kolhapur,47
16,SANTOSH GANPATI BISURE,Apni Prajahit Party,635,4,639,0.05,Maharashtra,Kolhapur,47
17,DR. SUNIL NAMDEV PATIL,National Black Panther Party,626,7,633,0.05,Maharashtra,Kolhapur,47
18,KRUSHNA HANMANT DESAI,Independent,602,2,604,0.04,Maharashtra,Kolhapur,47
19,IRFAN ABUTALIB CHAND,Independent,595,2,597,0.04,Maharashtra,Kolhapur,47
20,MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,558,12,570,0.04,Maharashtra,Kolhapur,47
21,SANDEEP GUNDOPANT SANKPAL,Independent,541,3,544,0.04,Maharashtra,Kolhapur,47
22,KUDARTULLA ADAM LATIF,Independent,465,2,467,0.03,Maharashtra,Kolhapur,47
23,SALIM NURMUHAMAD BAGWAN,Independent,334,1,335,0.02,Maharashtra,Kolhapur,47
24,NOTA,None of the Above,5932,51,5983,0.43,Maharashtra,Kolhapur,47
