S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,GAIKWAD VARSHA EKNATH,Indian National Congress,444098,1447,445545,48.93,Maharashtra,Mumbai North Central
2,ADV UJWAL NIKAM,Bharatiya Janata Party,427387,1644,429031,47.12,Maharashtra,Mumbai North Central
3,SANTOSH GANPAT AMBULGE,Vanchit Bahujan  Aaghadi,8233,55,8288,0.91,Maharashtra,Mumbai North Central
4,AYYUB AMIN HUNGUND,Bahujan Samaj Party,3229,14,3243,0.36,Maharashtra,Mumbai North Central
5,ANSON THOMAS,People's Party of India(secular),2207,4,2211,0.24,Maharashtra,Mumbai North Central
6,RAMZAN ALI CHAUDHARY,All India Majlis-E-Ittehadul Muslimeen,1521,10,1531,0.17,Maharashtra,Mumbai North Central
7,AJAZ MOHAMMAD SAFI KHAN,Independent,1041,-,1041,0.11,Maharashtra,Mumbai North Central
8,HAYATULAH ABDULAH SHAIKH,Akhil Bharatiya Muslim League (Secular),818,3,821,0.09,Maharashtra,Mumbai North Central
9,NAZMAKHATHUN MOHAMMED ZAFAR KHAN,Independent,730,2,732,0.08,Maharashtra,Mumbai North Central
10,SHANTARAM S DIGHE,Independent,723,10,733,0.08,Maharashtra,Mumbai North Central
11,NARENDRA MISHRA,Independent,706,2,708,0.08,Maharashtra,Mumbai North Central
12,ADV ASIF ALI SIDDIQUIE,Independent,681,2,683,0.08,Maharashtra,Mumbai North Central
13,HARSHADA BABURAV JADHAV,Maharashtra Vikas Aghadi,673,17,690,0.08,Maharashtra,Mumbai North Central
14,RAMA ARUN SABLE,Independent,626,10,636,0.07,Maharashtra,Mumbai North Central
15,SANDEEP BHAU RAMCHANDRA JADHAV,Independent,619,4,623,0.07,Maharashtra,Mumbai North Central
16,DR GAFFAR IBRAHIM SAYED,Independent,584,2,586,0.06,Maharashtra,Mumbai North Central
17,ADV UTTAMKUMAR NAKUL SAJANI SAHU,Independent,554,4,558,0.06,Maharashtra,Mumbai North Central
18,KHAN ABBAS AHMED,Bahujan Maha Party,427,1,428,0.05,Maharashtra,Mumbai North Central
19,MUSHTAQUE HAIDER SHAIKH,Independent,405,-,405,0.04,Maharashtra,Mumbai North Central
20,DR ADV YASHWANT RAMBHAU KASBE,Bhartiya Jan Vikas Aaghadi,385,6,391,0.04,Maharashtra,Mumbai North Central
21,KURBAN SHAHADAT HUSAIN,Rashtriya Ulama Council,366,1,367,0.04,Maharashtra,Mumbai North Central
22,ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,Independent,355,-,355,0.04,Maharashtra,Mumbai North Central
23,SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party,341,4,345,0.04,Maharashtra,Mumbai North Central
24,RAJESH MOHAN LOKHANDE,Independent,282,7,289,0.03,Maharashtra,Mumbai North Central
25,YUNUSALI RASHID MULLA,Independent,220,-,220,0.02,Maharashtra,Mumbai North Central
26,ADV FEROZ SHAIKH,Independent,180,-,180,0.02,Maharashtra,Mumbai North Central
27,MUZAFAR ALI SHAIKH,Independent,173,-,173,0.02,Maharashtra,Mumbai North Central
28,NOTA,None of the Above,9665,84,9749,1.07,Maharashtra,Mumbai North Central
