S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),448604,2333,450937,48.67,Maharashtra,Mumbai North East,28
2,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,419589,1487,421076,45.45,Maharashtra,Mumbai North East,28
3,DAULAT KADAR KHAN,Vanchit Bahujan  Aaghadi,14571,86,14657,1.58,Maharashtra,Mumbai North East,28
4,NANDESH VITHAL UMAP,Bahujan Samaj Party,8217,101,8318,0.9,Maharashtra,Mumbai North East,28
5,DR. SUSHMA MAURYA,Independent,2886,5,2891,0.31,Maharashtra,Mumbai North East,28
6,SANJAY B. PATIL,National People's Party,2757,7,2764,0.3,Maharashtra,Mumbai North East,28
7,SANJU MARUTI PAWAR,Maharashtra Vikas Aghadi,2555,27,2582,0.28,Maharashtra,Mumbai North East,28
8,PROF. DR. PRASHANT GANGAWANE,Desh Janhit Party,2338,35,2373,0.26,Maharashtra,Mumbai North East,28
9,PREM RAMAPATI GUPTA,Independent,1598,3,1601,0.17,Maharashtra,Mumbai North East,28
10,MOHAMMED AHMED SHAIKH,Independent,1289,5,1294,0.14,Maharashtra,Mumbai North East,28
11,MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,1085,5,1090,0.12,Maharashtra,Mumbai North East,28
12,VIDYA NAIK,Independent,974,5,979,0.11,Maharashtra,Mumbai North East,28
13,BHOPINDER SINGH SAINI,Viro Ke Vir Indian Party,941,5,946,0.1,Maharashtra,Mumbai North East,28
14,BANSODE DILIP,Independent,831,7,838,0.09,Maharashtra,Mumbai North East,28
15,BHAWANI H. CHOUDHARY,Sardar Vallabhbhai Patel Party,742,4,746,0.08,Maharashtra,Mumbai North East,28
16,DATTATRAY ARJUN UTEKAR,Bharatheeya Jawan Kisan Party,707,4,711,0.08,Maharashtra,Mumbai North East,28
17,COMRADE SURENDRA SIBAG,All India Forward Bloc,675,3,678,0.07,Maharashtra,Mumbai North East,28
18,SHAHAJI  NANAI THORAT,Independent,648,2,650,0.07,Maharashtra,Mumbai North East,28
19,SANJAY SAOJI DESHPANDE,Republican Party of India,641,-,641,0.07,Maharashtra,Mumbai North East,28
20,SANJAY PATIL,Independent,520,4,524,0.06,Maharashtra,Mumbai North East,28
21,NOTA,None of the Above,10088,85,10173,1.1,Maharashtra,Mumbai North East,28
