S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,TATKARE SUNIL DATTATREY,Nationalist Congress Party,506529,1823,508352,50.17,Maharashtra,Raigad,32
2,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),423137,2431,425568,42.0,Maharashtra,Raigad,32
3,KUMUDINI RAVINDRA CHAVAN,Vanchit Bahujan  Aaghadi,19500,118,19618,1.94,Maharashtra,Raigad,32
4,SHRINIVAS SATYANARAYAN MATTAPARTI,Independent,9379,15,9394,0.93,Maharashtra,Raigad,32
5,AMIT SHRIPAL KAWADE,Independent,5603,31,5634,0.56,Maharashtra,Raigad,32
6,ANANT BALOJI GITE,Independent,3485,30,3515,0.35,Maharashtra,Raigad,32
7,NITIN JAGANNATH MAYEKAR,Independent,2548,12,2560,0.25,Maharashtra,Raigad,32
8,CHAULE PANDURANG DAMODAR,Independent,2394,23,2417,0.24,Maharashtra,Raigad,32
9,ANANT PADMA GITE,Independent,2001,39,2040,0.2,Maharashtra,Raigad,32
10,COL PRAKASHRAO CHAVAN,Bharatheeya Jawan Kisan Party,1863,76,1939,0.19,Maharashtra,Raigad,32
11,KOLI MANGESH PADMAKAR,Independent,1797,23,1820,0.18,Maharashtra,Raigad,32
12,ADV AJAY UPADHYE,Independent,1756,39,1795,0.18,Maharashtra,Raigad,32
13,ANJANI ASHWIN KELKAR,Independent,1325,25,1350,0.13,Maharashtra,Raigad,32
14,NOTA,None of the Above,27188,82,27270,2.69,Maharashtra,Raigad,32
