S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,611894,1131,613025,48.94,Maharashtra,Ramtek,9
2,RAJU DEONATH PARVE,Shiv Sena,535234,1023,536257,42.81,Maharashtra,Ramtek,9
3,SANDIP SAHADEO MESHRAM,Bahujan Samaj Party,26003,95,26098,2.08,Maharashtra,Ramtek,9
4,KISHORE  UTTAMRAO GAJBHIYE,Independent,24324,59,24383,1.95,Maharashtra,Ramtek,9
5,AJAY BAKARAM CHAVAN,Independent,6021,5,6026,0.48,Maharashtra,Ramtek,9
6,SANVIDHAN G LOKHANDE,Baliraja Party,5810,4,5814,0.46,Maharashtra,Ramtek,9
7,ROSHANI ATUL GAJBHIYE,Gondvana Gantantra Party,5108,29,5137,0.41,Maharashtra,Ramtek,9
8,GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,3750,16,3766,0.3,Maharashtra,Ramtek,9
9,ARVIND SHIVAJI TANDEKAR,Independent,3208,7,3215,0.26,Maharashtra,Ramtek,9
10,SANJAY VASANTRAO BORKAR,Maharashtra Vikas Aghadi,1983,9,1992,0.16,Maharashtra,Ramtek,9
11,SHANKAR CHINTAMAN CHAHANDE,Vanchit Bahujan  Aaghadi,1858,26,1884,0.15,Maharashtra,Ramtek,9
12,ADV BHIMRAO SHENDE,Bahujan Republican  Socialist Party,1811,7,1818,0.15,Maharashtra,Ramtek,9
13,GAIKWAD MANJUSHA SACHIN,Akhil Bhartiya Parivar Party,1760,13,1773,0.14,Maharashtra,Ramtek,9
14,ASHISH BHAURAO SARODE,Bhim Sena,1600,20,1620,0.13,Maharashtra,Ramtek,9
15,PRAMOD SHRIPAT KHOBRAGADE,Ambedkarite Party of India,1337,3,1340,0.11,Maharashtra,Ramtek,9
16,UMESH RAJU  KHADSE,Rashtra Samarpan Party,1223,6,1229,0.1,Maharashtra,Ramtek,9
17,SIDDHARTH GADIJI PATIL,Peoples Party of India (Democratic),975,2,977,0.08,Maharashtra,Ramtek,9
18,PREMKUMAR DASHRATH GAJBHARE,Independent,921,4,925,0.07,Maharashtra,Ramtek,9
19,RIDDHESHWAR ANANDRAO BELEY,Republican Party of India (A),908,5,913,0.07,Maharashtra,Ramtek,9
20,BHOJRAJ TUKARAM SARODE,Jay Vidarbha Party,881,7,888,0.07,Maharashtra,Ramtek,9
21,VILAS SHRIPAT KHADSE,Independent,857,3,860,0.07,Maharashtra,Ramtek,9
22,SUBHASH LOKHANDE,Independent,849,1,850,0.07,Maharashtra,Ramtek,9
23,KARTIK GENDLALJI DOKE,Independent,844,3,847,0.07,Maharashtra,Ramtek,9
24,ADV ULHAS SHALIKRAM DUPARE,Independent,780,1,781,0.06,Maharashtra,Ramtek,9
25,LAROKAR SURESH PUNDLIK,Independent,693,5,698,0.06,Maharashtra,Ramtek,9
26,SUNIL UTTAMRAO SALVE,Independent,649,2,651,0.05,Maharashtra,Ramtek,9
27,GOWARDHAN NAMDEO SOMDEVE,Independent,509,2,511,0.04,Maharashtra,Ramtek,9
28,VILAS GANESH ZODAPE,Independent,402,5,407,0.03,Maharashtra,Ramtek,9
29,NOTA,None of the Above,7769,58,7827,0.62,Maharashtra,Ramtek,9
