S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,NARAYAN TATU RANE,Bharatiya Janata Party,445339,3175,448514,49.07,Maharashtra,Ratnagiri- Sindhudurg
2,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),396524,4132,400656,43.83,Maharashtra,Ratnagiri- Sindhudurg
3,VINAYAK LAVU RAUT,Independent,15769,57,15826,1.73,Maharashtra,Ratnagiri- Sindhudurg
4,MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan  Aaghadi,9873,166,10039,1.1,Maharashtra,Ratnagiri- Sindhudurg
5,AAYARE RAJENDRA LAHU,Bahujan Samaj Party,7796,60,7856,0.86,Maharashtra,Ratnagiri- Sindhudurg
6,SHAKIL SAWANT,Independent,6373,22,6395,0.7,Maharashtra,Ratnagiri- Sindhudurg
7,TAMBADE AMRUT ANANT (RAJAPURKAR),Independent,5563,19,5582,0.61,Maharashtra,Ratnagiri- Sindhudurg
8,ASHOK GANGARAM PAWAR,Bahujan Mukti Party,5244,36,5280,0.58,Maharashtra,Ratnagiri- Sindhudurg
9,SURESH GOVINDRAO SHINDE,Sainik Samaj Party,2209,38,2247,0.25,Maharashtra,Ratnagiri- Sindhudurg
10,NOTA,None of the Above,11516,127,11643,1.27,Maharashtra,Ratnagiri- Sindhudurg
