S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,629558,1321,630879,53.84,Maharashtra,Raver
2,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,358030,666,358696,30.61,Maharashtra,Raver
3,ER. SANJAY PANDIT BRAMHANE,Vanchit Bahujan  Aaghadi,59001,119,59120,5.05,Maharashtra,Raver
4,EKNATH NAGO SALUNKE,Independent,43957,25,43982,3.75,Maharashtra,Raver
5,GULAB DAYARAM BHIL,Bharat Adivasi Party,9622,22,9644,0.82,Maharashtra,Raver
6,MAMTA ALIAS MUMTAJ BHIKARI TADVI,Independent,7874,10,7884,0.67,Maharashtra,Raver
7,VIJAY RAMKRUSHNA KALE,Bahujan Samaj Party,7551,26,7577,0.65,Maharashtra,Raver
8,VASANT SHANKAR KOLTE,Independent,6713,5,6718,0.57,Maharashtra,Raver
9,PRAVIN LAXMAN PATIL,Independent,6087,5,6092,0.52,Maharashtra,Raver
10,YUVRAJ DEVSING BARELA,Independent,5131,4,5135,0.44,Maharashtra,Raver
11,ASHOK BABURAO JADHAV,Peoples Party of India (Democratic),4686,4,4690,0.4,Maharashtra,Raver
12,SHRIRAM SITARAM PATIL,Independent,4264,5,4269,0.36,Maharashtra,Raver
13,JITENDRA PANDURANG PATIL,Independent,3582,5,3587,0.31,Maharashtra,Raver
14,SANJAY PRALHAD KANDELKAR,Independent,2954,7,2961,0.25,Maharashtra,Raver
15,SAGAR PRABHAKAR PATIL,Independent,2932,3,2935,0.25,Maharashtra,Raver
16,SANJAYKUMAR LAXMAN WANKHEDE,Republican Party of India (Social),2277,5,2282,0.19,Maharashtra,Raver
17,ANIL PITAMBAR WAGH (SIR),Independent,2265,13,2278,0.19,Maharashtra,Raver
18,PROF. DR. ASHISH SUBHASH JADHAV,Independent,1919,8,1927,0.16,Maharashtra,Raver
19,BHIVRAJ RAMDAS RAYSINGE,Independent,1807,2,1809,0.15,Maharashtra,Raver
20,KOMALBAI BAPURAO PATIL,Independent,1424,5,1429,0.12,Maharashtra,Raver
21,SHAIKH AABID SHAIKH BASHIR,Independent,1035,5,1040,0.09,Maharashtra,Raver
22,AMIT HARIBHAU KOLTE,Independent,980,1,981,0.08,Maharashtra,Raver
23,DR. YOGENDRA VITTHAL KOLTE,Independent,900,2,902,0.08,Maharashtra,Raver
24,SHRIRAM OMKAR PATIL,Independent,743,6,749,0.06,Maharashtra,Raver
25,NOTA,None of the Above,4073,27,4100,0.35,Maharashtra,Raver
