S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),475637,1263,476900,45.0,Maharashtra,Shirdi,38
2,LOKHANDE SADASHIV KISAN,Shiv Sena,425498,873,426371,40.23,Maharashtra,Shirdi,38
3,UTKARSHA PREMANAND RUPWATE,Vanchit Bahujan  Aaghadi,90748,181,90929,8.58,Maharashtra,Shirdi,38
4,BHAUSAHEB RAMNATH WAKCHAURE,Independent,13973,33,14006,1.32,Maharashtra,Shirdi,38
5,RAMCHANDRA NAMDEV JADHAV,Bahujan Samaj Party,7000,40,7040,0.66,Maharashtra,Shirdi,38
6,RAVINDRA KALLAYYA SWAMY,Independent,5536,1,5537,0.52,Maharashtra,Shirdi,38
7,ABHIJEET ASHOKRAO POTE,Independent,4761,15,4776,0.45,Maharashtra,Shirdi,38
8,BHARAT SAMBHAJI BHOSLE,Samata Party,3395,8,3403,0.32,Maharashtra,Shirdi,38
9,SATISH BHIVA PAWAR,Independent,2765,6,2771,0.26,Maharashtra,Shirdi,38
10,GANGADHAR RAJARAM KADAM,Independent,2743,14,2757,0.26,Maharashtra,Shirdi,38
11,BAGUL GORAKSHA TANHAJI,Independent,2658,2,2660,0.25,Maharashtra,Shirdi,38
12,PRASHANT VASANT NIKAM,Independent,2542,3,2545,0.24,Maharashtra,Shirdi,38
13,ADV NITIN DADAHARI POL,Bahujan Bharat Party,2517,15,2532,0.24,Maharashtra,Shirdi,38
14,RAJENDRA RATNAKAR WAGHMARE,Rashtriya Jankranti Party,2500,5,2505,0.24,Maharashtra,Shirdi,38
15,ADV SIDHARTH DEEPAK BODHAK,Independent,2202,2,2204,0.21,Maharashtra,Shirdi,38
16,CHANDRAKANT SAMBHAJI DONDE,Independent,2074,6,2080,0.2,Maharashtra,Shirdi,38
17,ASHOK RAMCHANDRA ALHAT,Independent,1794,4,1798,0.17,Maharashtra,Shirdi,38
18,KHAJEKAR VIJAYRAO GOVINDRAO,Independent,1555,2,1557,0.15,Maharashtra,Shirdi,38
19,KHARAT NACHIKET RAGHUNATH,Independent,1146,4,1150,0.11,Maharashtra,Shirdi,38
20,SANJAY POPAT BHALERAO,Independent,958,5,963,0.09,Maharashtra,Shirdi,38
21,NOTA,None of the Above,5326,54,5380,0.51,Maharashtra,Shirdi,38
