S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,HARSH MALHOTRA,Bharatiya Janata Party,663420,1399,664819,52.59,NCT OF Delhi,East Delhi
2,KULDEEP KUMAR (MONU),Aam Aadmi Party,570494,662,571156,45.18,NCT OF Delhi,East Delhi
3,MOHD. WAQAR CHOUDHARY,Bahujan Samaj Party,9158,39,9197,0.73,NCT OF Delhi,East Delhi
4,A. GOPALA KRISHNA,Navarang Congress Party,2807,10,2817,0.22,NCT OF Delhi,East Delhi
5,KULDEEP KUMAR,Independent,1579,3,1582,0.13,NCT OF Delhi,East Delhi
6,MANOJ KUMAR GUPTA (SWARAJI),Independent,1191,1,1192,0.09,NCT OF Delhi,East Delhi
7,RODASH GUPTA,Independent,1097,2,1099,0.09,NCT OF Delhi,East Delhi
8,JYOTI PRAKASH (MONU),Ekam Sanatan Bharat Dal,824,-,824,0.07,NCT OF Delhi,East Delhi
9,ARUNIMA GAUTAM,Independent,749,2,751,0.06,NCT OF Delhi,East Delhi
10,JAI RAM LAL,Rashtriya Republican Party,657,-,657,0.05,NCT OF Delhi,East Delhi
11,ADVOCATE MANJEET SINGH,Rashtra Nirman Party,614,-,614,0.05,NCT OF Delhi,East Delhi
12,MOHAMMAD IRFAN,Independent,582,1,583,0.05,NCT OF Delhi,East Delhi
13,OM SHANKAR,Independent,556,-,556,0.04,NCT OF Delhi,East Delhi
14,LAL SINGH,Bahujan Dravida Party,476,1,477,0.04,NCT OF Delhi,East Delhi
15,YOGESH CHAUDHARY,Bhartiya Veer Dal,468,2,470,0.04,NCT OF Delhi,East Delhi
16,VIMAL KUMAR SAXENA,Independent,427,6,433,0.03,NCT OF Delhi,East Delhi
17,SURENDRA SINGH BASOYA,Peoples Party of India (Democratic),392,7,399,0.03,NCT OF Delhi,East Delhi
18,SANJAY,Public Political Party,378,1,379,0.03,NCT OF Delhi,East Delhi
19,AMIT GUPTA,Independent,358,2,360,0.03,NCT OF Delhi,East Delhi
20,SANJAYA KUMAR YADAV,Right to Recall Party,289,1,290,0.02,NCT OF Delhi,East Delhi
21,NOTA,None of the Above,5371,23,5394,0.43,NCT OF Delhi,East Delhi
