S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,APARAJITA SARANGI,Bharatiya Janata Party,509567,2952,512519,47.36,Odisha,Bhubaneswar,18
2,MANMATH KUMAR ROUTRAY,Biju Janata Dal,475990,1377,477367,44.11,Odisha,Bhubaneswar,18
3,SYED YASHIR NAWAZ,Indian National Congress,66045,317,66362,6.13,Odisha,Bhubaneswar,18
4,SURESH CHANDRA PANIGRAHY,Communist Party of India  (Marxist),4134,14,4148,0.38,Odisha,Bhubaneswar,18
5,HULAS SENAPATI,Independent,2248,3,2251,0.21,Odisha,Bhubaneswar,18
6,KISHOR KUMAR SUTAR,Independent,2202,1,2203,0.2,Odisha,Bhubaneswar,18
7,SUDHANSU SEKHAR DAS,Independent,1751,7,1758,0.16,Odisha,Bhubaneswar,18
8,SANTOSH KUMAR MISHRA,Independent,1738,6,1744,0.16,Odisha,Bhubaneswar,18
9,SANGEETA PATTANAIK,Odisha Janata Party,1528,2,1530,0.14,Odisha,Bhubaneswar,18
10,PRADEEP KUMAR SAHOO,Kalinga Sena,1495,8,1503,0.14,Odisha,Bhubaneswar,18
11,SANTILATA ROUT,Supreme Zero Party of Bharat,1437,4,1441,0.13,Odisha,Bhubaneswar,18
12,NATABAR MAHARANA,Bharatiya Bikash Parishad,1080,7,1087,0.1,Odisha,Bhubaneswar,18
13,NOTA,None of the Above,8261,41,8302,0.77,Odisha,Bhubaneswar,18
