S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,614196,3548,617744,44.12,Odisha,Bolangir,10
2,SURENDRA SINGH BHOI,Biju Janata Dal,483964,1116,485080,34.64,Odisha,Bolangir,10
3,MANOJ KUMAR MISHRA,Indian National Congress,229577,1297,230874,16.49,Odisha,Bolangir,10
4,SUNIL KUMAR BHOI,Socialist Unity Centre Of India (COMMUNIST),10334,21,10355,0.74,Odisha,Bolangir,10
5,JAGADISH CHANDRA BIBHAR,Bahujan Samaj Party,9404,65,9469,0.68,Odisha,Bolangir,10
6,BALRAM SINGH YADAV,Independent,8637,37,8674,0.62,Odisha,Bolangir,10
7,MADHUSUDAN BARIK,Ambedkarite Party of India,7239,13,7252,0.52,Odisha,Bolangir,10
8,BALARAM SA,Independent,6092,5,6097,0.44,Odisha,Bolangir,10
9,AKSHAYA DISHRI,National Apni Party,5465,4,5469,0.39,Odisha,Bolangir,10
10,RAJESH KUMAR PANDA,Ekam Sanatan Bharat Dal,3163,7,3170,0.23,Odisha,Bolangir,10
11,NOTA,None of the Above,16010,54,16064,1.15,Odisha,Bolangir,10
