S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,VE VAITHILINGAM,Indian National Congress,424292,1713,426005,52.73,Puducherry,PUDUCHERRY,1
2,A NAMASSIVAYAM,Bharatiya Janata Party,288050,1439,289489,35.83,Puducherry,PUDUCHERRY,1
3,R MENAGA,Naam Tamilar Katchi,39545,58,39603,4.9,Puducherry,PUDUCHERRY,1
4,G THAMIZHVENDAN,All India Anna Dravida Munnetra Kazhagam,25059,106,25165,3.11,Puducherry,PUDUCHERRY,1
5,P SANKARAN,Socialist Unity Centre Of India (COMMUNIST),2057,9,2066,0.26,Puducherry,PUDUCHERRY,1
6,ARADADI POSIYYA,Independent,1540,6,1546,0.19,Puducherry,PUDUCHERRY,1
7,D ALANGARAVELU,Bahujan Samaj Party,1534,6,1540,0.19,Puducherry,PUDUCHERRY,1
8,K KISHORKUMAR,Independent,1240,6,1246,0.15,Puducherry,PUDUCHERRY,1
9,KOLLANJIAPPAN,Independent,1198,1,1199,0.15,Puducherry,PUDUCHERRY,1
10,M MANIKANDAN,Independent,1130,3,1133,0.14,Puducherry,PUDUCHERRY,1
11,M KRISHNAMURTHY,Independent,1052,19,1071,0.13,Puducherry,PUDUCHERRY,1
12,K PRABHU DEVAN,United Republican Party of India,981,8,989,0.12,Puducherry,PUDUCHERRY,1
13,S BAKTHAVATCHALAM,Independent,923,1,924,0.11,Puducherry,PUDUCHERRY,1
14,S SATHISH KUMAR,Independent,842,4,846,0.1,Puducherry,PUDUCHERRY,1
15,COUTTANE ALIAS DHIVANEEDHE,Independent,819,3,822,0.1,Puducherry,PUDUCHERRY,1
16,E ANANTHAVEL,Independent,771,5,776,0.1,Puducherry,PUDUCHERRY,1
17,S KALA,Independent,593,33,626,0.08,Puducherry,PUDUCHERRY,1
18,P RAJAN,Independent,545,2,547,0.07,Puducherry,PUDUCHERRY,1
19,NIRMALA G,Independent,474,1,475,0.06,Puducherry,PUDUCHERRY,1
20,K ARUNACHALAM,Independent,403,2,405,0.05,Puducherry,PUDUCHERRY,1
21,K RAMADASS,Independent,368,4,372,0.05,Puducherry,PUDUCHERRY,1
22,R RAJA,Independent,326,5,331,0.04,Puducherry,PUDUCHERRY,1
23,D RAVINDIRAN,Independent,305,2,307,0.04,Puducherry,PUDUCHERRY,1
24,S MASCO,Independent,248,6,254,0.03,Puducherry,PUDUCHERRY,1
25,V P MANICKAM,Independent,242,2,244,0.03,Puducherry,PUDUCHERRY,1
26,M MURUGAN,Independent,196,-,196,0.02,Puducherry,PUDUCHERRY,1
27,NOTA,None of the Above,9756,7,9763,1.21,Puducherry,PUDUCHERRY,1
