S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08,Punjab,Anandpur Sahib
2,VIJAY INDER SINGLA,Indian National Congress,301414,957,302371,28.07,Punjab,Anandpur Sahib
3,DR SUBHASH SHARMA,Bharatiya Janata Party,185836,742,186578,17.32,Punjab,Anandpur Sahib
4,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,117651,285,117936,10.95,Punjab,Anandpur Sahib
5,JASVIR SINGH GARHI,Bahujan Samaj Party,89953,204,90157,8.37,Punjab,Anandpur Sahib
6,KUSHAL PAL SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),24725,106,24831,2.31,Punjab,Anandpur Sahib
7,GAJJAN SINGH,Independent,6164,7,6171,0.57,Punjab,Anandpur Sahib
8,SIMPLE KUMAR,Independent,2962,-,2962,0.27,Punjab,Anandpur Sahib
9,SATPAL,Independent,2294,3,2297,0.21,Punjab,Anandpur Sahib
10,GURMIT SINGH,Independent,2179,3,2182,0.2,Punjab,Anandpur Sahib
11,DHARMINDER SINGH HARMAN,Akhil Bhartiya Parivar Party,2037,6,2043,0.19,Punjab,Anandpur Sahib
12,SUNIL KUMAR,Bhartiya Jan Samman Party,1968,9,1977,0.18,Punjab,Anandpur Sahib
13,ER DALJEET SINGH SAINI,Bharatheeya Jawan Kisan Party,1710,5,1715,0.16,Punjab,Anandpur Sahib
14,KULWINDER SINGH,Democratic Bharatiya Samaj Party,1651,1,1652,0.15,Punjab,Anandpur Sahib
15,SUNAINA,Bhartiya Rashtriya Dal,1621,19,1640,0.15,Punjab,Anandpur Sahib
16,ADV KULWINDER SINGH,Independent,1596,4,1600,0.15,Punjab,Anandpur Sahib
17,MEGH RAJ,Independent,1429,1,1430,0.13,Punjab,Anandpur Sahib
18,HARWINDER KARWAL,Independent,1309,2,1311,0.12,Punjab,Anandpur Sahib
19,DAVINDER SINGH,Independent,1164,11,1175,0.11,Punjab,Anandpur Sahib
20,DARSHAN SINGH,Punjab National Party,1164,8,1172,0.11,Punjab,Anandpur Sahib
21,HANISH SHARMA,Ekam Sanatan Bharat Dal,1072,4,1076,0.1,Punjab,Anandpur Sahib
22,DEEPAK SHARMA,Independent,1012,-,1012,0.09,Punjab,Anandpur Sahib
23,PARMINDER SINGH,Independent,930,-,930,0.09,Punjab,Anandpur Sahib
24,YOG RAJ SAHOTA,Revolutionary Socialist Party,925,-,925,0.09,Punjab,Anandpur Sahib
25,RAMJAAN KHAN,Independent,672,-,672,0.06,Punjab,Anandpur Sahib
26,ROHTASH,Independent,617,2,619,0.06,Punjab,Anandpur Sahib
27,MANDAR SINGH,Independent,555,-,555,0.05,Punjab,Anandpur Sahib
28,KIRAN JAIN,Hindustan Shakti Sena,507,8,515,0.05,Punjab,Anandpur Sahib
29,NOTA,None of the Above,6351,51,6402,0.59,Punjab,Anandpur Sahib
