S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019,1539,376558,32.71,Punjab,Bathinda,11
2,GURMEET SINGH KHUDIAN,Aam Aadmi Party,325019,1883,326902,28.4,Punjab,Bathinda,11
3,JEETMOHINDER SINGH SIDHU,Indian National Congress,200859,1152,202011,17.55,Punjab,Bathinda,11
4,PARAMPAL KAUR SIDHU,Bharatiya Janata Party,110255,507,110762,9.62,Punjab,Bathinda,11
5,LAKHVIR SINGH LAKHA SIDHANA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),84222,462,84684,7.36,Punjab,Bathinda,11
6,NIKKA SINGH,Bahujan Samaj Party,12979,60,13039,1.13,Punjab,Bathinda,11
7,JAGJIWAN BALLI,Independent,5480,4,5484,0.48,Punjab,Bathinda,11
8,PARWINDER SINGH,Independent,4494,3,4497,0.39,Punjab,Bathinda,11
9,PALA RAM,Independent,3428,7,3435,0.3,Punjab,Bathinda,11
10,BHAGWANT SINGH SAMAON,Independent,3372,16,3388,0.29,Punjab,Bathinda,11
11,GURMEET SINGH,Independent,3072,10,3082,0.27,Punjab,Bathinda,11
12,JASVIR SINGH BATHINDA,Aazad Samaj Party (Kanshi Ram),3039,106,3145,0.27,Punjab,Bathinda,11
13,GURPREET SINGH URF PREET GHAINT,Jan Sewa Driver Party,2619,9,2628,0.23,Punjab,Bathinda,11
14,GURBARN SINGH,Independent,1618,9,1627,0.14,Punjab,Bathinda,11
15,NAIB SINGH,Bharatheeya Jawan Kisan Party,1593,8,1601,0.14,Punjab,Bathinda,11
16,KULWANT SINGH,Independent,1172,10,1182,0.1,Punjab,Bathinda,11
17,AMANDEEP SINGH,Independent,1146,2,1148,0.1,Punjab,Bathinda,11
18,POONAM RANI,Nationalist Justice Party,1060,4,1064,0.09,Punjab,Bathinda,11
19,NOTA,None of the Above,4818,115,4933,0.43,Punjab,Bathinda,11
