S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,Punjab,Hoshiarpur,5
2,YAMINI GOMAR,Indian National Congress,257936,1812,259748,27.39,Punjab,Hoshiarpur,5
3,ANITA SOM PARKASH,Bharatiya Janata Party,198576,1418,199994,21.09,Punjab,Hoshiarpur,5
4,SOHAN SINGH THANDAL,Shiromani Akali Dal,91503,286,91789,9.68,Punjab,Hoshiarpur,5
5,RANJIT KUMAR,Bahujan Samaj Party,47975,239,48214,5.08,Punjab,Hoshiarpur,5
6,JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),20680,243,20923,2.21,Punjab,Hoshiarpur,5
7,JEEVAN SINGH TAMIL,Bahujan Dravida Party,4607,14,4621,0.49,Punjab,Hoshiarpur,5
8,ROHIT KUMAR TINKU,Independent,2417,2,2419,0.26,Punjab,Hoshiarpur,5
9,RAJESH,Democratic Bharatiya Samaj Party,2330,6,2336,0.25,Punjab,Hoshiarpur,5
10,SONU SINGH PHAGWARA,Independent,1871,13,1884,0.2,Punjab,Hoshiarpur,5
11,DAVINDER SINGH,Independent,1584,33,1617,0.17,Punjab,Hoshiarpur,5
12,HARDEEP SINGH,Nationalist Justice Party,1403,22,1425,0.15,Punjab,Hoshiarpur,5
13,RAJPAL NADALI,Bahujan Mukti Party,1138,2,1140,0.12,Punjab,Hoshiarpur,5
14,BHIMRAO YASHWANT AMBEDKAR,Global Republican Party,1034,7,1041,0.11,Punjab,Hoshiarpur,5
15,SATPAL,Independent,978,15,993,0.1,Punjab,Hoshiarpur,5
16,DAVINDER KUMAR SAROYA,Samaj Bhalai Morcha,923,7,930,0.1,Punjab,Hoshiarpur,5
17,NOTA,None of the Above,5453,99,5552,0.59,Punjab,Hoshiarpur,5
