S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,Punjab,Khadoor Sahib,3
2,KULBIR SINGH ZIRA,Indian National Congress,206286,1024,207310,19.8,Punjab,Khadoor Sahib,3
3,LALJIT SINGH BHULLAR,Aam Aadmi Party,194160,676,194836,18.61,Punjab,Khadoor Sahib,3
4,VIRSA SINGH VALTOHA,Shiromani Akali Dal,86291,125,86416,8.25,Punjab,Khadoor Sahib,3
5,MANJIT SINGH MANNA,Bharatiya Janata Party,85810,563,86373,8.25,Punjab,Khadoor Sahib,3
6,PARAMJIT SINGH,Independent,12522,3,12525,1.2,Punjab,Khadoor Sahib,3
7,CHAIN SINGH BAINKA,Aas Punjab Party,6728,11,6739,0.64,Punjab,Khadoor Sahib,3
8,SATNAM SINGH,Bahujan Samaj Party,5021,45,5066,0.48,Punjab,Khadoor Sahib,3
9,SARABJIT SINGH,Independent,4835,1,4836,0.46,Punjab,Khadoor Sahib,3
10,GURDIAL SINGH,Communist Party of India,3945,7,3952,0.38,Punjab,Khadoor Sahib,3
11,ANOKH SINGH KATWAL,Independent,2766,3,2769,0.26,Punjab,Khadoor Sahib,3
12,GURPREET SINGH,Independent,2609,-,2609,0.25,Punjab,Khadoor Sahib,3
13,AJIT SINGH,Independent,2528,7,2535,0.24,Punjab,Khadoor Sahib,3
14,ARUN KUMAR,Independent,2522,3,2525,0.24,Punjab,Khadoor Sahib,3
15,SURJIT SINGH BHIKHIWIND,Independent,2367,4,2371,0.23,Punjab,Khadoor Sahib,3
16,KAWALJIT SINGH,Independent,2290,4,2294,0.22,Punjab,Khadoor Sahib,3
17,HARJINDER SINGH,Independent,1969,1,1970,0.19,Punjab,Khadoor Sahib,3
18,KANWALJIT SINGH,Independent,1895,6,1901,0.18,Punjab,Khadoor Sahib,3
19,PARMINDER SINGH,Independent,1802,1,1803,0.17,Punjab,Khadoor Sahib,3
20,JASWANT SINGH SOHAL,Independent,1637,2,1639,0.16,Punjab,Khadoor Sahib,3
21,LAKHBIR SINGH,Independent,1420,1,1421,0.14,Punjab,Khadoor Sahib,3
22,VIKRAMJIT SINGH,Independent,1417,3,1420,0.14,Punjab,Khadoor Sahib,3
23,VIJAY KUMAR,Independent,1388,-,1388,0.13,Punjab,Khadoor Sahib,3
24,DILBAGH SINGH,All India Mazdoor Party (Rangreta),1363,11,1374,0.13,Punjab,Khadoor Sahib,3
25,SIMRANJEET SINGH,Independent,1338,3,1341,0.13,Punjab,Khadoor Sahib,3
26,MAHINDER SINGH HAMIRA,Independent,1044,2,1046,0.1,Punjab,Khadoor Sahib,3
27,NAVEEN KUMAR SHARMA,Sanjhi Virasat Party,823,1,824,0.08,Punjab,Khadoor Sahib,3
28,NOTA,None of the Above,3420,32,3452,0.33,Punjab,Khadoor Sahib,3
