S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06,Punjab,Sangrur
2,SUKHPAL SINGH KHAIRA,Indian National Congress,190209,1316,191525,18.97,Punjab,Sangrur
3,SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),186543,703,187246,18.55,Punjab,Sangrur
4,ARVIND KHANNA,Bharatiya Janata Party,127781,472,128253,12.7,Punjab,Sangrur
5,IQBAL SINGH JHUNDAN,Shiromani Akali Dal,62265,223,62488,6.19,Punjab,Sangrur
6,MAKHAN SINGH,Bahujan Samaj Party,37604,127,37731,3.74,Punjab,Sangrur
7,PARDEEP KUMAR,Apni Ekta Party,5131,8,5139,0.51,Punjab,Sangrur
8,HARBHAJAN SINGH,Aazad Samaj Party (Kanshi Ram),3417,14,3431,0.34,Punjab,Sangrur
9,SUKHWINDER SINGH,Independent,3225,-,3225,0.32,Punjab,Sangrur
10,BALWINDER SINGH SEKHON,Independent,2562,10,2572,0.25,Punjab,Sangrur
11,BALWINDER SINGH,Independent,2284,4,2288,0.23,Punjab,Sangrur
12,JASWANT SINGH,Independent,2222,2,2224,0.22,Punjab,Sangrur
13,PAPPU KUMAR,Independent,1826,1,1827,0.18,Punjab,Sangrur
14,KRISHAN DEV,Punjab National Party,1803,12,1815,0.18,Punjab,Sangrur
15,AMANPREET SINGH,Independent,1686,7,1693,0.17,Punjab,Sangrur
16,RANGI KHAN,Aam Janta Party (India),1578,3,1581,0.16,Punjab,Sangrur
17,JILE SINGH,Bhartiya Jan Samman Party,1546,2,1548,0.15,Punjab,Sangrur
18,KAMAL KUMAR VERMA (BHASAUR),"Adarsh Janta Party,",1376,-,1376,0.14,Punjab,Sangrur
19,CHANNVEER SINGH,Independent,1281,2,1283,0.13,Punjab,Sangrur
20,JAGTAR SINGH,Nationalist Justice Party,1224,1,1225,0.12,Punjab,Sangrur
21,VIJAY SYAL,Independent,1144,1,1145,0.11,Punjab,Sangrur
22,HARPREET KAUR,India Greens Party,1095,10,1105,0.11,Punjab,Sangrur
23,RAJA SINGH,Independent,1037,3,1040,0.1,Punjab,Sangrur
24,NOTA,None of the Above,3773,47,3820,0.38,Punjab,Sangrur
