S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Rajasthan,AJMER,13
2,RAMCHANDRA CHOUDHARY,Indian National Congress,413685,3786,417471,34.76,Rajasthan,AJMER,13
3,RAMDEV,Bahujan Samaj Party,4896,48,4944,0.41,Rajasthan,AJMER,13
4,SURENDRA SINGH RANAVAT,Independent,4348,25,4373,0.36,Rajasthan,AJMER,13
5,MUKESH GENA,Bharatiya Yuva Jan Ekta Party,3187,9,3196,0.27,Rajasthan,AJMER,13
6,JITENDRA BOYAT,Aazad Samaj Party (Kanshi Ram),2608,25,2633,0.22,Rajasthan,AJMER,13
7,SATYANARAYAN MALI,Independent,2409,11,2420,0.2,Rajasthan,AJMER,13
8,VISHRAM BABU,Independent,1517,7,1524,0.13,Rajasthan,AJMER,13
9,SHABUDADIN,National Future Party,1190,7,1197,0.1,Rajasthan,AJMER,13
10,YUSUF,Independent,988,12,1000,0.08,Rajasthan,AJMER,13
11,PREM LATA,Independent,988,167,1155,0.1,Rajasthan,AJMER,13
12,BHAWARLAL SONI,Independent,868,70,938,0.08,Rajasthan,AJMER,13
13,RAMLAL,Akhil Bhartiya Aamjan Party,807,11,818,0.07,Rajasthan,AJMER,13
14,DAYA MOHAN GARG,Independent,644,2,646,0.05,Rajasthan,AJMER,13
15,NOTA,None of the Above,11290,112,11402,0.95,Rajasthan,AJMER,13
