S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Rajasthan,BHILWARA,23
2,C P JOSHI,Indian National Congress,449528,3506,453034,34.73,Rajasthan,BHILWARA,23
3,RAMESHWAR LAL BAIRWA,Bahujan Samaj Party,8243,40,8283,0.64,Rajasthan,BHILWARA,23
4,RAJESH PATNI,Independent,8013,5,8018,0.61,Rajasthan,BHILWARA,23
5,JAYKISHAN,Viro Ke Vir Indian Party,4061,23,4084,0.31,Rajasthan,BHILWARA,23
6,MOTILAL SINGHANIA,Independent,3871,16,3887,0.3,Rajasthan,BHILWARA,23
7,NARAYAN LAL JAT,Independent,1643,41,1684,0.13,Rajasthan,BHILWARA,23
8,PAWAN KUMAR SHARMA,Right to Recall Party,1609,8,1617,0.12,Rajasthan,BHILWARA,23
9,ANURAG AROT,Independent,1406,19,1425,0.11,Rajasthan,BHILWARA,23
10,VIJAY KUMAR SONI,Bhartiya Garib Vikas Kalyan Party,1340,7,1347,0.1,Rajasthan,BHILWARA,23
11,NOTA,None of the Above,13337,39,13376,1.03,Rajasthan,BHILWARA,23
