S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,565428,2772,568200,41.39,Tamil Nadu,COIMBATORE
2,ANNAMALAI K,Bharatiya Janata Party,447608,2524,450132,32.79,Tamil Nadu,COIMBATORE
3,SINGAI G RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,235603,887,236490,17.23,Tamil Nadu,COIMBATORE
4,KALAMANI JAGANATHAN,Naam Tamilar Katchi,82387,270,82657,6.02,Tamil Nadu,COIMBATORE
5,VELMURUGAN K,Bahujan Samaj Party,2364,11,2375,0.17,Tamil Nadu,COIMBATORE
6,SANJAYKUMAR S,Independent,1787,2,1789,0.13,Tamil Nadu,COIMBATORE
7,ANNADURAI R,Independent,1767,5,1772,0.13,Tamil Nadu,COIMBATORE
8,SURESH M,Independent,1472,2,1474,0.11,Tamil Nadu,COIMBATORE
9,GOPALAKRISHNAN S,Independent,1196,3,1199,0.09,Tamil Nadu,COIMBATORE
10,RAGHUL GANDHI K,Hindustan Janta Party,1170,6,1176,0.09,Tamil Nadu,COIMBATORE
11,KARTHICK T,Independent,1070,3,1073,0.08,Tamil Nadu,COIMBATORE
12,RAJKUMAR M,Independent,1067,1,1068,0.08,Tamil Nadu,COIMBATORE
13,RAJKUMAR,Independent,1010,3,1013,0.07,Tamil Nadu,COIMBATORE
14,RAJKUMAR G,Independent,888,4,892,0.06,Tamil Nadu,COIMBATORE
15,SHANMUGAM K,Independent,881,1,882,0.06,Tamil Nadu,COIMBATORE
16,KRISHNAN V,Independent,722,4,726,0.05,Tamil Nadu,COIMBATORE
17,RAMACHANDRAN M,Independent,663,-,663,0.05,Tamil Nadu,COIMBATORE
18,RAJAMANICKAM N,Independent,626,3,629,0.05,Tamil Nadu,COIMBATORE
19,RAJKUMAR G B,Independent,607,4,611,0.04,Tamil Nadu,COIMBATORE
20,KUMAR A,Ganasangam Party of India,548,3,551,0.04,Tamil Nadu,COIMBATORE
21,SANGEETHA R,Naadaalum Makkal Katchi,491,1,492,0.04,Tamil Nadu,COIMBATORE
22,RICHARD VINCENT,Viro Ke Vir Indian Party,489,3,492,0.04,Tamil Nadu,COIMBATORE
23,SURIYAKUMAR K,Independent,443,4,447,0.03,Tamil Nadu,COIMBATORE
24,ARUNKANTH V,Independent,432,6,438,0.03,Tamil Nadu,COIMBATORE
25,ANANDHAKUMAR S,Rashtriya Samaj Paksha,417,2,419,0.03,Tamil Nadu,COIMBATORE
26,RAMACHANDRAN R,Independent,368,1,369,0.03,Tamil Nadu,COIMBATORE
27,MUTHUSAMY P P,Independent,368,1,369,0.03,Tamil Nadu,COIMBATORE
28,PALANISAMYRAAJ M,Independent,313,3,316,0.02,Tamil Nadu,COIMBATORE
29,PUSHPANANTHAM V,Tamizhaga Murpokku Makkal Katchi,303,2,305,0.02,Tamil Nadu,COIMBATORE
30,DINESH K,Independent,284,1,285,0.02,Tamil Nadu,COIMBATORE
31,PREMKUMAR P,Independent,281,2,283,0.02,Tamil Nadu,COIMBATORE
32,RAVICHANDRAN,Independent,271,1,272,0.02,Tamil Nadu,COIMBATORE
33,DURAISAMY A,Independent,263,3,266,0.02,Tamil Nadu,COIMBATORE
34,ZAHIR HUSSAIN,Independent,259,1,260,0.02,Tamil Nadu,COIMBATORE
35,BOOBALAN,Independent,252,1,253,0.02,Tamil Nadu,COIMBATORE
36,NOORMUHAMAD A,Independent,232,2,234,0.02,Tamil Nadu,COIMBATORE
37,PASUPATHI S,Independent,170,3,173,0.01,Tamil Nadu,COIMBATORE
38,NOTA,None of the Above,11677,111,11788,0.86,Tamil Nadu,COIMBATORE
