S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,540267,5981,546248,53.08,Tamil Nadu,KANNIYAKUMARI,39
2,RADHAKRISHNAN P,Bharatiya Janata Party,361623,4718,366341,35.6,Tamil Nadu,KANNIYAKUMARI,39
3,MARIA JENNIFER CLARA MICHAEL,Naam Tamilar Katchi,51893,828,52721,5.12,Tamil Nadu,KANNIYAKUMARI,39
4,PASILIAN NAZERATH,All India Anna Dravida Munnetra Kazhagam,40927,466,41393,4.02,Tamil Nadu,KANNIYAKUMARI,39
5,NAGOOR MEERAN PEER MOHAMED U,Independent,4412,3,4415,0.43,Tamil Nadu,KANNIYAKUMARI,39
6,BERRILA L,Independent,3256,6,3262,0.32,Tamil Nadu,KANNIYAKUMARI,39
7,BALASUBRAMANIAN T,Independent,2047,25,2072,0.2,Tamil Nadu,KANNIYAKUMARI,39
8,VIJAYAN G,Bahujan Samaj Party,1607,16,1623,0.16,Tamil Nadu,KANNIYAKUMARI,39
9,DENNISON V,Independent,1274,4,1278,0.12,Tamil Nadu,KANNIYAKUMARI,39
10,DR TOM MANOHAR C M,Punnagai Desam Party,1034,6,1040,0.1,Tamil Nadu,KANNIYAKUMARI,39
11,SATHISH BABU P,Independent,747,1,748,0.07,Tamil Nadu,KANNIYAKUMARI,39
12,RAJAN SINGH,Bahujan Dravida Party,592,6,598,0.06,Tamil Nadu,KANNIYAKUMARI,39
13,GEETA M,Thakkam Katchi,528,24,552,0.05,Tamil Nadu,KANNIYAKUMARI,39
14,SANTHAKUMAR N,Independent,521,6,527,0.05,Tamil Nadu,KANNIYAKUMARI,39
15,RAMESHKUMAR J L,Independent,464,1,465,0.05,Tamil Nadu,KANNIYAKUMARI,39
16,ESAKKIMUTHU N,Independent,435,6,441,0.04,Tamil Nadu,KANNIYAKUMARI,39
17,AYYAPPAN V,Independent,358,15,373,0.04,Tamil Nadu,KANNIYAKUMARI,39
18,SARAVANAN N,Samaniya Makkal Nala Katchi,308,7,315,0.03,Tamil Nadu,KANNIYAKUMARI,39
19,VINO JEBA SEELAN T,Independent,265,5,270,0.03,Tamil Nadu,KANNIYAKUMARI,39
20,KRISHNAN P,Independent,250,4,254,0.02,Tamil Nadu,KANNIYAKUMARI,39
21,VENKADESH S C,Independent,187,1,188,0.02,Tamil Nadu,KANNIYAKUMARI,39
22,ANTONY MICHAEL J,Independent,166,9,175,0.02,Tamil Nadu,KANNIYAKUMARI,39
23,NOTA,None of the Above,3680,76,3756,0.36,Tamil Nadu,KANNIYAKUMARI,39
